aid,name,isCast
WiDa,Willie Day,0
Bill Murray,Bill Murray,0
MaLa,Matthew Laurance,1
AnRi,Ann Risley,1
Delbert McClinton,Delbert McClinton,0
Bonnie Bramlett,Bonnie Bramlett,0
CaRo,Charles Rocket,1
DeDi,Denny Dillon,1
GiGo,Gilbert Gottfried,1
GaMa,Gail Matthius,1
JoPi,Joe Piscopo,1
BrDM,Brian Doyle-Murray,1
Kris Kristofferson,Kris Kristofferson,0
ChCh,Chevy Chase,1
GaMo,Garrett Morris,1
DoPa,Don Pardo,0
DaAy,Dan Aykroyd,1
Rita Coolidge,Rita Coolidge,0
JaCu,Jane Curtin,1
JoBe,John Belushi,1
GiRa,Gilda Radner,1
LaNe,Laraine Newman,1
MiOD,Michael O'Donoghue,1
EdMu,Eddie Murphy,1
Mark King,Mark King,0
RoCu,Ronnie Cuber,0
ToMa,Tom Malone,0
LoMa,Lou Marini,0
AlPR,Alan P. Rubin,0
Jr. Walker & The All Stars,Jr. Walker & The All Stars,0
Chevy Chase,Chevy Chase,0
Christopher Reeve,Christopher Reeve,0
Robin Williams,Robin Williams,0
TiKa,Tim Kazurinsky,1
RoDu,Robin Duke,1
ToRo,Tony Rosato,1
LaMe,Laurie Metcalf,1
Al Franken,Al Franken,0
LiWe,Liz Welch,0
YvHu,Yvonne Hudson,1
Ashford & Simpson,Ashford & Simpson,0
BeJo,Bert Jones,0
StJo,Steve Jordan,0
PaSh,Paul Shaffer,1
O.J. Simpson,O.J. Simpson,0
BiMu,Bill Murray,1
ToDa,Tom Davis,1
AlFr,Al Franken,1
JiDo,Jim Downey,1
MiLa,Mitchell Laurance,0
NeLe,Neil Levy,0
DoNo,Don Novello,1
RoSu,Rosie Schuster,0
AnBe,Anne Beatts,0
AlZw,Alan Zweibel,1
ToSc,Tom Schiller,1
Art Garfunkel,Art Garfunkel,0
Andy Kaufman,Andy Kaufman,0
LoMi,Lorne Michaels,0
Stephen Bishop,Stephen Bishop,0
NiNi,Nil Nichols,0
HwSh,Howard Shore,0
BoCr,Bob Cranshaw,0
Jill Clayburgh,Jill Clayburgh,0
ChHa,Cheryl Hardwick,0
Eddie Money,Eddie Money,0
AnMu,Andy Murphy,0
MaSM,Marilyn Suzanne Miller,0
KaRo,Karen Roston,0
Cheetah Chrome,Cheetah Chrome,0
WaWi,Walter Williams,0
Meat Loaf,Meat Loaf,0
Christopher Lee,Christopher Lee,0
RiBe,Richard Belzer,0
Rick Overton,Rick Overton,0
Stacy Keach,Stacy Keach,0
AkYo,Akira Yoshimura,0
Michael Palin,Michael Palin,0
Eugene Record,Eugene Record,0
Gravity,Gravity,0
HwJo,Howard Johnson,0
Marv Albert ,Marv Albert ,0
Michael Sarrazin,Michael Sarrazin,0
LeMa,Lee Mayman,0
Keith Jarrett,Keith Jarrett,0
LeDG,Lew Del Gatto,0
MrSm,Mauricio Smith,0
Steve Martin,Steve Martin,0
Toni Basil ,Toni Basil ,0
EmPr,Emily Prager,1
Gary Tigerman,Gary Tigerman,0
Richard Dreyfuss,Richard Dreyfuss,0
Jimmy Buffett,Jimmy Buffett,0
Sun Ra,Sun Ra,0
Buck Henry,Buck Henry,0
Susan Saint James,Susan Saint James,0
MaGr,Mary Gross,1
BrHa,Brad Hall,1
JuLD,Julia Louis-Dreyfus,1
Michael McDonald,Michael McDonald,0
Steven Wright,Steven Wright,0
GaKr,Gary Kroeger,1
Edgar Winter,Edgar Winter,0
James Pickens Jr.,James Pickens Jr.,0
Stevie Wonder,Stevie Wonder,0
Michael Davis,Michael Davis,0
Greg Dean,Greg Dean,0
Kevin Rowland & Dexy's Midnight Runners,Kevin Rowland & Dexy's Midnight Runners,0
Marv Albert,Marv Albert,0
Harry Anderson,Harry Anderson,0
Leslie Pollack,Leslie Pollack,0
Don King,Don King,0
Ed Koch,Ed Koch,0
Peter Cook,Peter Cook,0
Dudley Moore,Dudley Moore,0
Elliott Gould,Elliott Gould,0
DESh,Dahaud Elias Shaar,0
Paula Kahn,Paula Kahn,0
AuPD,Audrey Peart Dickman,0
Anne Murray,Anne Murray,0
Jim Henson's Muppets,Jim Henson's Muppets,0
Albert Brooks,Albert Brooks,0
Clifford Einstein,Clifford Einstein,0
James L. Brooks,James L. Brooks,0
Julie Payne,Julie Payne,0
PeFa,Pete Fatovich,0
HeRi,Heino Ripp,0
DaWi,Dave Wilson,0
Martha Reeves,Martha Reeves,0
Candice Bergen,Candice Bergen,0
Margaret Kuhn,Margaret Kuhn,0
The Stylistics,The Stylistics,0
JoDi,Joe Dicso,0
Toni Basil,Toni Basil,0
Bill Withers,Bill Withers,0
JaCa,Jacqueline Carlin,0
Abbie Hoffman,Abbie Hoffman,0
Neil Sedaka,Neil Sedaka,0
GeCo,George Coe,1
Al Alen Petersen,Al Alen Petersen,0
Jimmy Cliff,Jimmy Cliff,0
Dick Cavett,Dick Cavett,0
Marshall Efron,Marshall Efron,0
BVRy,Bob Van Ry,0
Al Jarreau,Al Jarreau,0
Peter Boyle,Peter Boyle,0
The Shapiro Sisters,The Shapiro Sisters,0
Jenny Shapiro,Jenny Shapiro,0
Desi Arnaz,Desi Arnaz,0
Desi Arnaz Jr.,Desi Arnaz Jr.,0
Andrew Duncan,Andrew Duncan,0
Taylor Mead,Taylor Mead,0
ChCH,Chevy Chase,1
Bill Wegman,Bill Wegman,0
Leon Redbone,Leon Redbone,0
Jonathan Dorn,Jonathan Dorn,0
The Singing Idlers,The Singing Idlers,0
Betty Carter,Betty Carter,0
Anthony Perkins,Anthony Perkins,0
EdBa,Edie Baskin,0
George Plimpton,George Plimpton,0
Chuck Scarborough,Chuck Scarborough,0
Raquel Welch,Raquel Welch,0
Phoebe Snow,Phoebe Snow,0
John Sebastian,John Sebastian,0
Patti Smith Group,Patti Smith Group,0
Ron Nessen,Ron Nessen,0
Billy Crystal,Billy Crystal,0
Jerry Rubin,Jerry Rubin,0
President Gerald Ford,President Gerald Ford,0
Louise Lasser,Louise Lasser,0
The Preservation Hall Jazz Band,The Preservation Hall Jazz Band,0
AlSi,Al Siegal,0
Gordon Lightfoot,Gordon Lightfoot,0
Madeline Kahn,Madeline Kahn,0
Carly Simon,Carly Simon,0
Dyan Cannon,Dyan Cannon,0
Leon & Mary Russell,Leon & Mary Russell,0
Harlan Collins,Harlan Collins,0
Joyce Everson,Joyce Everson,0
Charlie Lowe,Charlie Lowe,0
Wendell Craig,Wendell Craig,0
Lily Tomlin,Lily Tomlin,0
Bill Bradley,Bill Bradley,0
Rob Reiner,Rob Reiner,0
Penny Marshall,Penny Marshall,0
Buster Holmes,Buster Holmes,0
The Kinks,The Kinks,0
Leo Sayer,Leo Sayer,0
Fran Tarkenton,Fran Tarkenton,0
Donny Harper & The Voices Of Tomorrow,Donny Harper & The Voices Of Tomorrow,0
DoGr,Don Grolnick,0
Richard Baskin,Richard Baskin,0
Sissy Spacek,Sissy Spacek,0
The Meters,The Meters,0
Dr. John,Dr. John,0
Levon Helm,Levon Helm,0
Paul Butterfield,Paul Butterfield,0
Broderick Crawford,Broderick Crawford,0
Jack Burns,Jack Burns,0
Linda Ronstadt,Linda Ronstadt,0
Santana,Santana,0
Julian Bond,Julian Bond,0
Patti Smith,Patti Smith,0
Brick,Brick,0
Tom Waits,Tom Waits,0
Roslyn Kind,Roslyn Kind,0
The McGarrigle Sisters,The McGarrigle Sisters,0
ElRa,Elliott Randall,0
Eric Idle,Eric Idle,0
Alan Price,Alan Price,0
DaLa,David Lasley,0
Neil Innes,Neil Innes,0
GaWe,Gary Weis,0
