,index,sid,eid,tid,aid,actorType
0,73,2.0,12.0,197701221.0,Bob Dryden,cameo
1,75,2.0,12.0,197701221.0,JoBe,cast
2,77,2.0,12.0,197701221.0,JaCu,cast
3,79,2.0,12.0,197701221.0,LoMi,crew
4,81,2.0,12.0,197701221.0,GiRa,cast
5,86,3.0,20.0,197805201.0,DaAy,cast
6,88,3.0,20.0,197805201.0,BrDM,cast
7,90,3.0,20.0,197805201.0,GaMo,cast
8,92,3.0,19.0,197805131.0,DaAy,cast
9,93,3.0,19.0,197805131.0,JoBe,cast
10,95,3.0,19.0,197805131.0,BoCr,crew
11,97,3.0,19.0,197805131.0,BiMu,cast
12,98,3.0,19.0,197805131.0,GiRa,cast
13,100,4.0,20.0,197905261.0,JoBe,cast
14,101,4.0,20.0,197905261.0,JaCu,cast
15,103,4.0,20.0,197905261.0,HeRi,crew
16,105,4.0,20.0,197905261.0,WaWi,crew
17,106,4.0,20.0,197905261.0,WaWi,crew
18,108,6.0,8.0,198101241.0,JoPi,cast
19,110,6.0,8.0,198101241.0,AnRi,cast
20,112,6.0,8.0,198101241.0,CaRo,cast
21,115,6.0,13.0,198104111.0,Chevy Chase,cameo
22,117,6.0,13.0,198104111.0,DeDi,cast
23,119,7.0,13.0,198202271.0,BrDM,cast
24,120,7.0,13.0,198202271.0,JoPi,cast
25,122,3.0,18.0,197804221.0,DaAy,cast
26,123,3.0,18.0,197804221.0,JoBe,cast
27,124,3.0,18.0,197804221.0,BoCr,crew
28,126,3.0,18.0,197804221.0,LeDG,crew
29,128,3.0,18.0,197804221.0,ChHa,crew
30,130,3.0,18.0,197804221.0,HwJo,crew
31,132,4.0,20.0,197905261.0,WaWi,crew
32,134,4.0,20.0,197905261.0,DaWi,crew
33,136,3.0,18.0,197804221.0,BeJo,crew
34,138,3.0,18.0,197804221.0,StJo,crew
35,140,3.0,18.0,197804221.0,ToMa,crew
36,142,3.0,18.0,197804221.0,LoMa,crew
37,144,3.0,18.0,197804221.0,AlPR,crew
38,146,3.0,18.0,197804221.0,PaSh,cast
39,148,3.0,18.0,197804221.0,HwSh,crew
40,150,3.0,18.0,197804221.0,MrSm,crew
41,152,7.0,19.0,198205151.0,JoPi,cast
42,155,7.0,20.0,198205221.0,Olivia Newton-John,host
43,157,7.0,20.0,198205221.0,RoDu,cast
44,160,7.0,18.0,198204241.0,Robert Culp,host
45,162,7.0,18.0,198204241.0,TiKa,cast
46,164,7.0,18.0,198204241.0,NeLe,crew
47,166,7.0,18.0,198204241.0,EdMu,cast
48,167,7.0,18.0,198204241.0,JoPi,cast
49,170,7.0,17.0,198204171.0,Johnny Cash,host
50,171,7.0,17.0,198204171.0,RoDu,cast
51,172,7.0,17.0,198204171.0,TiKa,cast
52,174,7.0,17.0,198204171.0,NeLy,crew
53,177,8.0,20.0,198305141.0,Ed Koch,host
54,179,8.0,18.0,198304161.0,EdMu,cast
55,181,8.0,19.0,198305071.0,JoPi,cast
56,184,8.0,17.0,198304091.0,RoDu,cast
57,186,8.0,17.0,198304091.0,JuLD,cast
58,187,8.0,17.0,198304091.0,JoPi,cast
59,196,8.0,16.0,198303191.0,EdMu,cast
60,197,8.0,16.0,198303191.0,EdMu,cast
61,198,8.0,16.0,198303191.0,JoPi,cast
62,200,8.0,16.0,198303191.0,AnSm,crew
63,210,8.0,15.0,198303121.0,TiKa,cast
64,212,8.0,15.0,198303121.0,GaKr,cast
65,213,8.0,15.0,198303121.0,JuLD,cast
66,216,8.0,14.0,198302261.0,Beau Bridges,host
67,218,8.0,14.0,198302261.0,Jeff Bridges,host
68,219,8.0,9.0,198212111.0,EdMu,cast
69,222,8.0,13.0,198302191.0,Howard Hesseman,host
70,224,8.0,14.0,198302261.0,AnMu,crew
71,227,8.0,12.0,198302051.0,Sid Caesar,host
72,229,8.0,10.0,198301221.0,Lily Tomlin,host
73,231,8.0,10.0,198301221.0,MaGr,cast
74,232,8.0,10.0,198301221.0,TiKa,cast
75,233,8.0,10.0,198301221.0,GaKr,cast
76,234,8.0,10.0,198301221.0,EdMu,cast
77,236,8.0,10.0,198301221.0,ClSm,crew
78,239,8.0,13.0,198302191.0,Milan Melvin,cameo
79,240,8.0,13.0,198302191.0,MaGr,cast
80,241,8.0,13.0,198302191.0,TiKa,cast
