sid,eid,tid,aid,actorType
4,20,1979052614,MiOD,cast
6,13,1981041112,Chevy Chase,cameo
6,13,1981041112,Christopher Reeve,cameo
6,13,1981041112,Robin Williams,cameo
6,13,1981041115,DeDi,cast
6,13,1981041115,RoDu,cast
6,13,1981041115,GaMa,cast
6,13,1981041114,DeDi,cast
6,13,1981041114,RoDu,cast
6,13,1981041114,EdMu,cast
6,13,1981041114,JoPi,cast
6,13,1981041114,ToRo,cast
6,13,1981041113,Jr. Walker & The All Stars,music
6,13,1981041111,TiKa,cast
6,13,1981041111,JoPi,cast
6,13,1981041110,TiKa,cast
6,13,1981041110,ToRo,cast
6,13,198104119,RoDu,cast
6,13,198104119,TiKa,cast
6,13,198104119,EdMu,cast
6,13,198104119,MiOD,cast
6,13,198104119,JoPi,cast
6,13,198104119,ToRo,cast
6,12,1981030716,Bill Murray,host
6,12,1981030716,DeDi,cast
6,12,1981030713,GiGo,cast
6,12,1981030713,GaMa,cast
6,12,1981030713,JoPi,cast
6,12,1981030713,CaRo,cast
6,12,1981030712,Bill Murray,host
6,12,1981030712,BrDM,cast
6,12,1981030715,Delbert McClinton,music
6,12,1981030715,Bonnie Bramlett,cameo
6,12,1981030711,CaRo,cast
6,12,1981030711,JoPi,cast
6,12,1981030714,Bill Murray,host
6,12,1981030714,MaLa,cast
6,12,1981030714,AnRi,cast
6,12,198103079,Bill Murray,host
6,12,198103076,Delbert McClinton,music
6,12,198103076,Bonnie Bramlett,cameo
6,12,198103076,RoCu,crew
6,12,198103076,ToMa,crew
6,12,198103076,LoMa,crew
6,12,198103076,AlPR,crew
6,12,198103078,DeDi,cast
6,12,198103078,GiGo,cast
6,12,198103078,GaMa,cast
6,12,198103078,EdMu,cast
6,12,198103078,JoPi,cast
6,12,198103077,Mark King,cameo
6,12,198103074,Bill Murray,host
6,12,198103074,DeDi,cast
6,12,198103074,MaLa,cast
6,12,198103074,AnRi,cast
6,12,198103074,CaRo,cast
6,12,198103073,JoPi,cast
6,12,198103072,Bill Murray,host
6,12,198103072,EdMu,cast
6,12,198103071,Bill Murray,host
6,12,198103071,DeDi,cast
6,12,198103071,GiGo,cast
6,12,198103071,GaMa,cast
6,12,198103071,EdMu,cast
6,12,198103071,JoPi,cast
6,12,198103071,AnRi,cast
6,12,198103071,CaRo,cast
6,13,198104112,YvHu,cast
6,13,198104112,TiKa,cast
6,13,198104112,GaMa,cast
6,13,198104112,JoPi,cast
6,13,198104112,ToRo,cast
6,13,198104116,Jr. Walker & The All Stars,music
6,13,198104118,GaMa,cast
6,13,198104117,Chevy Chase,cameo
6,13,198104117,EdMu,cast
6,13,198104117,LaMe,cast
6,13,198104114,TiKa,cast
6,13,198104114,ToRo,cast
6,13,198104113,DeDi,cast
6,13,198104113,EdMu,cast
6,13,198104113,JoPi,cast
6,13,198104113,LiWe,crew
6,13,198104117,Al Franken,cameo
3,20,1978052013,Sun Ra,music
3,20,1978052012,ToDa,cast
3,20,1978052012,AlFr,cast
3,20,1978052011,DaAy,cast
3,20,1978052011,GaMo,cast
3,20,1978052011,LaNe,cast
3,20,1978052011,GiRa,cast
6,13,198104111,Chevy Chase,cameo
6,13,198104111,DeDi,cast
3,20,197805209,Buck Henry,host
3,20,197805209,JaCu,cast
3,20,197805208,LaNe,cast
