sid,eid,year,aired
3,20,1977,"May 20, 1978"
3,19,1977,"May 13, 1978"
3,18,1977,"April 22, 1978"
2,21,1976,"May 14, 1977"
2,22,1976,"May 21, 1977"
2,20,1976,"April 23, 1977"
2,19,1976,"April 16, 1977"
4,20,1978,"May 26, 1979"
4,19,1978,"May 19, 1979"
4,18,1978,"May 12, 1979"
4,17,1978,"April 14, 1979"
7,20,1981,"May 22, 1982"
10,12,1984,"February 2, 1985"
10,16,1984,"April 6, 1985"
10,14,1984,"February 16, 1985"
10,15,1984,"March 30, 1985"
10,17,1984,"April 13, 1985"
10,13,1984,"February 9, 1985"
10,11,1984,"January 19, 1985"
10,10,1984,"January 12, 1985"
10,9,1984,"December 15, 1984"
10,8,1984,"December 8, 1984"
10,7,1984,"December 1, 1984"
10,6,1984,"November 17, 1984"
10,5,1984,"November 10, 1984"
10,4,1984,"November 3, 1984"
10,3,1984,"October 20, 1984"
10,2,1984,"October 13, 1984"
10,1,1984,"October 6, 1984"
6,13,1980,"April 11, 1981"
6,12,1980,"March 7, 1981"
6,11,1980,"February 21, 1981"
6,10,1980,"February 14, 1981"
6,7,1980,"January 17, 1981"
6,6,1980,"January 10, 1981"
6,9,1980,"February 7, 1981"
6,8,1980,"January 24, 1981"
6,5,1980,"December 20, 1980"
6,3,1980,"December 6, 1980"
6,4,1980,"December 13, 1980"
6,2,1980,"November 22, 1980"
6,1,1980,"November 15, 1980"
7,19,1981,"May 15, 1982"
7,18,1981,"April 24, 1982"
7,17,1981,"April 17, 1982"
7,16,1981,"April 10, 1982"
5,20,1979,"May 24, 1980"
5,19,1979,"May 17, 1980"
5,18,1979,"May 10, 1980"
7,13,1981,"February 27, 1982"
5,16,1979,"April 12, 1980"
5,17,1979,"April 19, 1980"
7,15,1981,"March 27, 1982"
7,14,1981,"March 20, 1982"
7,11,1981,"February 6, 1982"
7,12,1981,"February 20, 1982"
7,10,1981,"January 30, 1982"
7,9,1981,"January 23, 1982"
5,15,1979,"April 5, 1980"
5,14,1979,"March 15, 1980"
5,13,1979,"March 8, 1980"
5,12,1979,"February 23, 1980"
5,11,1979,"February 16, 1980"
5,10,1979,"February 9, 1980"
5,9,1979,"January 26, 1980"
