sid,eid,1,10,2,3,4,5,6,7,8,9,Aged 18-29,Aged 18-29_avg,Aged 30-44,Aged 30-44_avg,Aged 45+,Aged 45+_avg,Aged under 18,Aged under 18_avg,Females,Females Aged 18-29,Females Aged 18-29_avg,Females Aged 30-44,Females Aged 30-44_avg,Females Aged 45+,Females Aged 45+_avg,Females under 18,Females under 18_avg,Females_avg,IMDb staff,IMDb staff_avg,IMDb users,IMDb users_avg,Males,Males Aged 18-29,Males Aged 18-29_avg,Males Aged 30-44,Males Aged 30-44_avg,Males Aged 45+,Males Aged 45+_avg,Males under 18,Males under 18_avg,Males_avg,Non-US users,Non-US users_avg,Top 1000 voters,Top 1000 voters_avg,US users,US users_avg
2,21,0,10,0,0,4,2,4,9,11,2,9,8.5,7,7.0,20,7.2,0,,4.0,2,10.0,0,,2,7.0,0,,8.5,0,,42,7.6,32.0,6,8.1,7,7.0,18,7.2,0,,7.5,12,7.8,13,7.6,21,7.4
5,1,1,13,0,2,0,2,6,11,9,5,8,8.2,10,6.9,25,7.9,0,,9.0,2,8.0,3,6.7,4,7.2,0,,7.2,0,,49,7.7,34.0,5,8.6,7,6.9,21,7.9,0,,7.9,11,7.2,16,6.9,28,7.8
2,23,0,9,0,1,0,1,6,7,10,2,8,8.4,7,7.5,18,7.5,0,,5.0,2,10.0,1,7.0,2,6.5,0,,8.0,0,,36,7.8,28.0,5,7.8,6,7.6,16,7.4,0,,7.7,10,8.2,13,8.1,22,7.4
5,20,0,7,0,0,0,2,3,7,5,3,5,8.6,9,7.7,9,7.3,0,,4.0,1,10.0,2,7.0,1,10.0,0,,8.5,0,,27,7.9,19.0,3,8.0,7,8.0,8,7.0,0,,7.7,7,8.8,10,7.7,14,7.2
2,22,0,11,0,1,2,5,7,11,3,1,11,8.3,8,6.9,17,6.7,0,,6.0,3,10.0,1,5.0,2,7.0,0,,8.3,0,,41,7.3,30.0,7,8.0,7,7.0,15,6.6,0,,7.2,13,7.7,13,7.6,20,6.8
3,20,0,7,0,2,1,3,4,14,4,1,8,7.7,5,6.5,18,6.9,0,,5.0,2,10.0,1,5.0,2,7.0,0,,7.7,0,,36,7.2,26.0,5,7.1,4,6.8,16,6.9,0,,7.1,7,7.3,16,7.4,23,7.0
3,19,1,9,0,0,2,1,3,11,5,1,10,7.6,5,6.9,15,7.4,0,,6.0,3,7.0,0,,3,8.0,0,,6.9,0,,33,7.5,24.0,6,7.8,5,6.9,12,7.3,0,,7.6,8,7.4,10,7.7,21,7.5
42,15,11,13,1,5,3,11,16,17,1,2,19,5.7,22,5.1,20,5.9,1,6.0,15.0,1,7.0,4,6.0,6,6.3,1,6.0,6.5,0,,80,5.8,50.0,16,5.3,18,4.9,14,5.9,0,,5.3,18,5.6,12,6.3,34,5.4
42,14,13,30,0,2,1,10,10,38,32,15,37,7.5,38,6.8,37,7.5,0,,25.0,3,8.7,11,6.9,7,8.7,0,,7.7,0,,151,7.4,90.0,32,7.4,26,6.7,29,7.1,0,,7.1,30,7.3,22,7.4,63,7.0
42,13,12,103,2,3,2,7,10,33,47,50,81,8.8,57,7.6,42,7.8,4,9.2,62.0,26,9.1,16,8.4,13,8.7,1,10.0,8.9,0,,269,8.3,127.0,53,8.8,39,7.2,29,7.4,3,9.0,8.0,71,8.2,21,7.8,82,8.0
42,12,21,43,1,3,5,7,12,36,52,30,62,7.7,55,7.4,41,6.7,1,9.0,40.0,13,7.4,13,7.6,10,8.8,0,,7.8,0,,210,7.4,121.0,46,7.8,41,7.3,30,6.1,1,9.0,7.2,56,7.8,21,7.4,81,6.9
