,index,sid,eid,1,10,2,3,4,5,6,7,8,9,Aged 18-29,Aged 18-29_avg,Aged 30-44,Aged 30-44_avg,Aged 45+,Aged 45+_avg,Aged under 18,Aged under 18_avg,Females,Females Aged 18-29,Females Aged 18-29_avg,Females Aged 30-44,Females Aged 30-44_avg,Females Aged 45+,Females Aged 45+_avg,Females under 18,Females under 18_avg,Females_avg,IMDb staff,IMDb staff_avg,IMDb users,IMDb users_avg,Males,Males Aged 18-29,Males Aged 18-29_avg,Males Aged 30-44,Males Aged 30-44_avg,Males Aged 45+,Males Aged 45+_avg,Males under 18,Males under 18_avg,Males_avg,Non-US users,Non-US users_avg,Top 1000 voters,Top 1000 voters_avg,US users,US users_avg
0,42,6,13,0,3,0,0,1,0,2,9,7,4,3,8.0,9,7.9,12,7.5,0,,3.0,0,,2,7.5,1,4.0,0,,6.3,0,,26,7.7,21.0,3,8.0,7,8.1,11,7.8,0,,7.9,5,7.7,9,7.4,17,7.7
1,43,5,19,0,7,0,1,0,1,3,4,9,3,5,8.3,5,7.1,13,7.5,0,,4.0,0,,3,5.7,1,10.0,0,,6.8,0,,28,8.0,19.0,4,9.0,2,8.0,12,7.3,0,,7.9,4,9.0,7,7.2,17,7.7
2,44,8,20,0,4,0,0,0,3,0,6,3,1,3,8.0,3,5.7,9,7.9,0,,1.0,0,,1,5.0,0,,0,,5.0,0,,17,7.6,15.0,3,8.0,2,6.0,9,7.9,0,,7.8,2,8.5,8,6.9,13,7.5
3,45,5,1,1,12,0,2,0,2,6,10,9,5,8,8.2,9,6.9,24,7.8,0,,8.0,2,8.0,3,6.7,3,6.3,0,,6.7,0,,47,7.7,33.0,5,8.6,6,6.9,21,7.9,0,,7.9,11,7.2,14,6.6,26,7.8
4,46,5,20,0,6,0,0,0,2,3,6,5,3,5,8.6,8,7.8,8,7.0,0,,3.0,1,10.0,2,7.0,0,,0,,8.0,0,,25,7.9,18.0,3,8.0,6,8.3,8,7.0,0,,7.7,7,8.8,8,7.5,12,6.9
5,47,7,20,1,7,0,0,0,2,2,4,7,1,4,6.8,6,7.0,12,7.8,0,,2.0,1,8.0,1,7.0,0,,0,,7.5,0,,24,7.8,20.0,3,6.3,5,7.1,12,7.8,0,,7.6,5,8.1,10,7.2,16,7.5
6,48,39,21,4,40,1,0,1,1,12,32,42,27,72,8.5,37,8.0,24,7.2,2,8.5,34.0,18,8.7,8,8.6,6,6.9,0,,8.4,0,,160,8.1,104.0,52,8.4,29,7.9,18,7.1,2,8.5,8.0,52,8.0,28,7.5,58,7.9
7,49,39,19,4,32,1,1,6,7,9,27,46,19,65,8.4,48,7.0,20,7.3,1,5.0,37.0,20,8.7,10,7.1,4,8.5,0,,8.1,0,,152,7.6,101.0,43,8.2,37,6.9,16,7.2,1,5.0,7.5,54,7.7,23,6.9,56,7.3
8,50,39,20,4,10,3,3,7,12,31,28,9,4,37,6.6,37,6.0,18,6.1,1,4.0,24.0,9,5.9,9,6.0,3,7.3,0,,6.2,0,,111,6.2,74.0,26,6.6,27,5.9,15,6.0,1,4.0,6.1,43,6.0,22,6.4,40,6.1
9,51,39,17,4,36,1,2,0,6,21,36,42,19,63,8.0,49,7.2,23,7.4,0,,35.0,19,8.2,7,7.8,3,8.7,0,,8.1,0,,167,7.7,107.0,41,7.8,41,7.1,20,7.2,0,,7.4,56,7.5,26,7.1,62,7.4
