,index,sid,year
0,0,1.0,1975.0
1,1,2.0,1976.0
2,2,3.0,1977.0
3,3,4.0,1978.0
4,4,5.0,1979.0
5,5,6.0,1980.0
6,6,7.0,1981.0
7,7,8.0,1982.0
8,8,9.0,1983.0
9,9,10.0,1984.0
10,10,11.0,1985.0
11,11,12.0,1986.0
12,12,13.0,1987.0
13,13,14.0,1988.0
14,14,15.0,1989.0
15,15,16.0,1990.0
16,16,17.0,1991.0
17,17,18.0,1992.0
18,18,19.0,1993.0
19,19,20.0,1994.0
20,20,21.0,1995.0
21,21,22.0,1996.0
22,22,23.0,1997.0
23,23,24.0,1998.0
24,24,25.0,1999.0
25,25,26.0,2000.0
26,26,27.0,2001.0
27,27,28.0,2002.0
28,28,29.0,2003.0
29,29,30.0,2004.0
30,30,31.0,2005.0
31,31,32.0,2006.0
32,32,33.0,2007.0
33,33,34.0,2008.0
34,34,35.0,2009.0
35,35,36.0,2010.0
36,36,37.0,2011.0
37,37,38.0,2012.0
38,38,39.0,2013.0
39,39,40.0,2014.0
40,40,41.0,2015.0
41,41,42.0,2016.0
