sid,eid,tid,title,titleType
8,20,1983051414,,Goodnights
8,19,1983050715,,Goodnights
3,20,1978052014,,Goodnights
3,19,1978051313,,Goodnights
3,18,1978042215,,Goodnights
8,18,1983041616,,Goodnights
3,17,1978041515,,Goodnights
3,16,1978040815,,Goodnights
3,14,1978031816,,Goodnights
3,13,1978031116,,Goodnights
3,12,1978022516,,Goodnights
6,13,1981041116,,Goodnights
6,12,1981030717,,Goodnights
3,15,1978032520,,Goodnights
6,12,1981030714,Cat's Name,Sketch
6,12,1981030715,"""Shotgun Rider""",Musical Performance
6,12,1981030716,Bubba's Wash Fayetta's Dry,Sketch
6,12,1981030713,No Sex With Mary,Commercial
6,12,1981030712,Cut Flowers,Film
6,12,1981030711,Saturday Night Newsline,Miscellaneous
6,12,198103079,Saturday Night Newsline,Miscellaneous
1,24,1976073117,,Goodnights
1,24,1976073116,"""I've Got a Life of My Own""",Musical Performance
1,24,1976073115,Waiting for Pardo,Sketch
1,24,1976073114,Carter-Young,Sketch
1,24,1976073113,"""Eddie the Eunuch""",Musical Performance
1,24,1976073112,Blind Date,Sketch
1,24,1976073110,Talk Country,Commercial
1,24,1976073111,Bobby McGee,Miscellaneous
1,24,197607319,,Weekend Update
1,24,197607315,"""Hula Hoop""",Musical Performance
1,24,197607314,Samurai General Practitioner,Sketch
1,24,197607313,I Was Not A Sucker For Saturday Night,Commercial
1,24,197607316,Great White Athletes,Commercial
1,24,197607318,Police State,Sketch
1,24,197607317,Ford Delegate,Sketch
1,24,197607312,,Monologue
6,12,198103078,Chap Stick,Sketch
6,12,198103077,Saturday Night Newsline,Miscellaneous
6,12,198103076,"""Givin' It Up For Your Love""",Musical Performance
1,24,197607311,"""Help Me Make It Through The Night""",Cold Opening
6,12,198103074,Script in Development,Sketch
6,12,198103073,Formula for the Good Life,Film
6,12,198103072,,Monologue
6,13,1981041113,"""How Sweet It Is"", ""What Does It Take""",Musical Performance
6,12,198103071,Dressing Room,Cold Opening
6,13,1981041112,Friends,Miscellaneous
6,13,1981041111,The Famous Broadcasters School Of Cue Card Reading,Commercial
6,13,1981041115,Bag Lady,Film
6,13,1981041114,Wild Country Gun Cards,Commercial
6,13,1981041110,Wedding Day,Sketch
6,13,198104119,The Self-Righteous,Commercial
6,13,198104118,Same,Musical Sketch
6,13,198104117,,Weekend Update
6,13,198104116,"""Road Runner"", ""Shotgun""",Musical Performance
6,13,198104115,Johnny Cash at Spandau Prison,Commercial
6,13,198104114,I Married A Monkey,Sketch
6,13,198104113,Lite Beer,Commercial
6,13,198104112,Drive For America,Show
6,13,198104111,Storage Room,Cold Opening
3,12,1978022514,"""Don't Cost You Nothing""",Musical Performance
3,12,1978022513,Hertz,Commercial
3,12,1978022512,E. Buzz Miller's Animal Kingdom,Show
3,12,1978022511,Mandingo II,Commercial
3,12,1978022510,The Franken and Davis Show,Show
3,12,197802259,O.J.'s Record,Sketch
3,12,1978022515,Celebrity Battle of the Sexes & Races,Show
3,12,197802258,,Weekend Update
3,12,197802256,Mohawk Master,Commercial
3,12,197802253,Samurai Night Fever,Sketch
3,12,197802255,"""So, So Satisfied""",Musical Performance
3,12,197802254,Great Moments In Sports,Show
3,12,197802257,The Raid on Nicosia,Commercial
3,12,197802252,,Monologue
3,12,197802251,Audience Questions,Cold Opening
3,13,1978031115,"""Crying in My Sleep""",Musical Performance
3,13,1978031111,Looks At Books,Show
3,13,1978031110,"""All I Know"", ""Scarborough Fair""",Musical Performance
3,13,1978031114,The Looking For Mr. Goodbar Sleepytime Playset,Commercial
3,13,1978031113,,Guest Performance
3,13,1978031112,Schiller's Reel,Film
3,13,197803119,,Weekend Update
3,13,197803117,Miracle In Chicago,Sketch
3,13,197803118,KISS Concert,Sketch
3,13,197803112,,Monologue
3,13,197803116,"""On and On""",Musical Performance
3,13,197803115,Tomorrow,Show
3,13,197803111,Modern Crimes,Cold Opening
3,13,197803113,"""Wonderful World""",Musical Performance
3,13,197803114,Kromega III,Commercial
3,14,1978031815,Serious Song,Miscellaneous
3,14,1978031814,"""Two Tickets to Paradise""",Musical Performance
3,14,1978031812,The Coneheads On Earth,Sketch
3,14,1978031810,Blurry,Sketch
3,14,197803189,,Weekend Update
3,14,1978031813,Celebrity Crackup,Show
3,14,1978031811,Shower Mike,Sketch
3,14,197803188,Nutrifix,Commercial
3,14,197803187,"""Baby Hold On""",Musical Performance
3,14,197803186,Bad One-Man Theater,Show
3,14,197803185,Sybil III,Sketch
3,14,197803183,Royal Deluxe II,Commercial
3,14,197803182,,Monologue
3,14,197803181,"""Danny Boy""",Cold Opening
3,15,1978032519,Audience,Miscellaneous
