aid,type,url,gender
Dennis Hopper,guest,/Guests/?948,male
Dana Carvey,cast,/Cast/?DaCa,male
Phil Hartman,cast,/Cast/?PhHa,male
Jon Lovitz,cast,/Cast/?JoLo,male
Victoria Jackson,cast,/Cast/?ViJa,female
Roy Orbison,guest,/Guests/?949,male
Jan Hooks,cast,/Cast/?JaHo,female
Dennis Miller,cast,/Cast/?DeMi,male
A. Whitney Brown,cast,/Cast/?AWBr,male
Nora Dunn,cast,/Cast/?NoDu,female
Kevin Nealon,cast,/Cast/?KeNe,male
Tom Davis,cast,/Cast/?ToDa,male
Marc Shaiman,crew,/Crew/?MrSh,male
Alec Baldwin,guest,/Guests/?3301,male
Beck Bennett,cast,/Cast/?BeBe,male
Heidi Gardner,cast,/Cast/?HeGa,female
Alex Moffat,cast,/Cast/?AlMo,male
Chris Redd,cast,/Cast/?ChRe,male
Cecily Strong,cast,/Cast/?CeSt,female
Natalie Portman,guest,/Guests/?3299,female
Leslie Jones,cast,/Cast/?LeJo,female
Kate McKinnon,cast,/Cast/?KaMc,female
Lenny Pickett,crew,/Crew/?LePi,male
Kenan Thompson,cast,/Cast/?KeTh,male
Rachel Dratch,cast,/Cast/?RaDr,female
Tina Fey,cast,/Cast/?TiFe,female
Pete Davidson,cast,/Cast/?PeDa,male
Mikey Day,cast,/Cast/?MiDa,male
Steve Higgins,crew,/Crew/?StHi,male
Kyle Mooney,cast,/Cast/?KyMo,male
Luke Null,cast,/Cast/?LuNu,male
Aidy Bryant,cast,/Cast/?AiBr,female
Andy Samberg,cast,/Cast/?AnSa,male
Dua Lipa,guest,/Guests/?3300,unknown
Darrell Hammond,cast,/Cast/?DaHa,male
Colin Jost,cast,/Cast/?CoJo,male
Michael Che,cast,/Cast/?MiCh,male
Melissa Villaseor,cast,/Cast/?MeVi,female
Will Ferrell,cast,/Cast/?WiFe,male
Tracy Morgan,cast,/Cast/?TrMo,male
Chris Stapleton,guest,/Guests/?3296,male
Sturgill Simpson,guest,/Guests/?3297,unknown
Jessica Chastain,guest,/Guests/?3293,female
