aid,tid,capacity,role,charid,impid,voice,epid,sid
Kate McKinnon,202104101,cast,Joanne,,,False,20210410,46
Alex Moffat,202104101,cast,Craig Matthew Yorgensen,,,False,20210410,46
Ego Nwodim,202104101,cast,anchor,,,False,20210410,46
Chris Redd,202104101,cast,Calvin,,,False,20210410,46
Kenan Thompson,202104101,cast,anchor,,,False,20210410,46
Carey Mulligan,202104102,host,,,,False,20210410,46
Marcus Mumford,202104102,cameo,,,,False,20210410,46
Carey Mulligan,202104103,host,Sandra,,,False,20210410,46
Aidy Bryant,202104103,cast,Rebecca,1098.0,,False,20210410,46
Steve Higgins,202104103,cast,announcer,,,True,20210410,46
Chris Redd,202104103,cast,William,,,False,20210410,46
Kenan Thompson,202104103,cast,Elliott Pants,1087.0,,False,20210410,46
Carey Mulligan,202104104,host,mother,,,False,20210410,46
Aidy Bryant,202104104,cast,teacher,,,False,20210410,46
Mikey Day,202104104,cast,father,,,False,20210410,46
Heidi Gardner,202104104,cast,announcer,,,True,20210410,46
Lauren Holt,202104104,cast,mother,,,False,20210410,46
Kenan Thompson,202104104,cast,Herman,,,False,20210410,46
Carey Mulligan,202104105,host,Chrissy,,,False,20210410,46
Aidy Bryant,202104105,cast,Jason,,,False,20210410,46
Kate McKinnon,202104105,cast,Josh,,,False,20210410,46
Carey Mulligan,202104106,host,Sally,,,False,20210410,46
Kid Cudi,202104106,music,,,,False,20210410,46
Timothee Chalamet,202104106,filmed,,,,False,20210410,46
Aidy Bryant,202104106,cast,grandma,,,False,20210410,46
Pete Davidson,202104106,cast,,,,False,20210410,46
Chloe Fineman,202104106,cast,girl,,,False,20210410,46
Chris Redd,202104106,cast,,,,False,20210410,46
Kid Cudi,202104107,music,,,,False,20210410,46
Darrell Hammond,202104108,cast,announcer,,,True,20210410,46
Colin Jost,202104108,cast,,,,False,20210410,46
Michael Che,202104108,cast,,,,False,20210410,46
Chris Redd,202104108,cast,Barack Obama,,4142.0,False,20210410,46
Beck Bennett,202104108,cast,Bruce Springsteen,,4143.0,False,20210410,46
Punkie Johnson,202104108,cast,Pineapple Penelope Peters,,,False,20210410,46
Bowen Yang,202104108,cast,Iceberg,,,False,20210410,46
Carey Mulligan,2021041010,host,McKenna McLord Davies,,,False,20210410,46
Beck Bennett,2021041010,cast,captain,,,False,20210410,46
Mikey Day,2021041010,cast,Zachary,,,False,20210410,46
Chloe Fineman,2021041010,cast,crew member,,,False,20210410,46
Steve Higgins,2021041010,cast,announcer,,,True,20210410,46
Kate McKinnon,2021041010,cast,corporal,,,False,20210410,46
Alex Moffat,2021041010,cast,crew member,,,False,20210410,46
Ego Nwodim,2021041010,cast,crew member,,,False,20210410,46
Bowen Yang,2021041010,cast,crew member,,,False,20210410,46
Carey Mulligan,2021041011,host,woman,,,False,20210410,46
Beck Bennett,2021041011,cast,husband,,,False,20210410,46
Heidi Gardner,2021041011,cast,woman,,,False,20210410,46
Kate McKinnon,2021041011,cast,Beverly,,,False,20210410,46
Alex Moffat,2021041011,cast,doctor,,,False,20210410,46
Carey Mulligan,2021041012,host,Mary Pembrook,,,False,20210410,46
Beck Bennett,2021041012,cast,narrator,,,True,20210410,46
Mikey Day,2021041012,cast,Bertie Pembrook,,,False,20210410,46
Steve Higgins,2021041012,cast,announcer,,,True,20210410,46
Kid Cudi,2021041013,music,,,,False,20210410,46
Carey Mulligan,2021041014,host,Janey,,,False,20210410,46
Aidy Bryant,2021041014,cast,salesperson,,,False,20210410,46
Andrew Dismukes,2021041014,cast,student,,,False,20210410,46
Heidi Gardner,2021041014,cast,student,,,False,20210410,46
Steve Higgins,2021041014,cast,announcer,,,True,20210410,46
Kyle Mooney,2021041014,cast,Blaise,,,False,20210410,46
