aid,featured,first_epid,last_epid,sid,update_anchor,n_episodes,season_fraction
Beck Bennett,True,,,39,False,21,1.0
Beck Bennett,True,,,40,False,21,1.0
Beck Bennett,False,,,41,False,21,1.0
Beck Bennett,False,,,42,False,21,1.0
Beck Bennett,False,,,43,False,13,1.0
Alan Zweibel,True,19800409.0,,5,False,5,0.25
Sasheer Zamata,True,20140118.0,,39,False,11,0.5238095238095238
Sasheer Zamata,True,,,40,False,21,1.0
Sasheer Zamata,False,,,41,False,21,1.0
Sasheer Zamata,False,,,42,False,21,1.0
Fred Wolf,True,,,21,False,20,1.0
Fred Wolf,True,,19961019.0,22,False,3,0.15
Casey Wilson,True,20080223.0,,33,False,8,0.6666666666666666
Casey Wilson,True,,,34,False,22,1.0
Kristen Wiig,True,20051112.0,,31,False,15,0.7894736842105263
Kristen Wiig,False,,,32,False,20,1.0
Kristen Wiig,False,,,33,False,12,1.0
Kristen Wiig,False,,,34,False,22,1.0
Kristen Wiig,False,,,35,False,22,1.0
Kristen Wiig,False,,,36,False,22,1.0
Kristen Wiig,False,,,37,False,22,1.0
Brooks Wheelan,True,,,39,False,21,1.0
Nol Wells,True,,,39,False,21,1.0
Patrick Weathers,True,19801213.0,,6,False,10,0.7692307692307693
Damon Wayans,True,,19860315.0,11,False,12,0.6666666666666666
Michaela Watkins,True,20081115.0,,34,False,15,0.6818181818181818
Nancy Walls,False,,,21,False,20,1.0
Dan Vitale,True,,,11,False,18,1.0
Melissa Villaseor,True,,,42,False,21,1.0
Melissa Villaseor,True,,,43,False,13,1.0
Danitra Vance,False,,,11,False,18,1.0
Kenan Thompson,True,,,29,False,20,1.0
Kenan Thompson,True,,,30,False,20,1.0
Kenan Thompson,False,,,31,False,19,1.0
Kenan Thompson,False,,,32,False,20,1.0
Kenan Thompson,False,,,33,False,12,1.0
Kenan Thompson,False,,,34,False,22,1.0
Kenan Thompson,False,,,35,False,22,1.0
Kenan Thompson,False,,,36,False,22,1.0
Kenan Thompson,False,,,37,False,22,1.0
Kenan Thompson,False,,,38,False,21,1.0
Kenan Thompson,False,,,39,False,21,1.0
Kenan Thompson,False,,,40,False,21,1.0
Kenan Thompson,False,,,41,False,21,1.0
Kenan Thompson,False,,,42,False,21,1.0
Kenan Thompson,False,,,43,False,13,1.0
Terry Sweeney,False,,,11,False,18,1.0
Julia Sweeney,True,19901110.0,,16,False,16,0.8
Julia Sweeney,False,,,17,False,20,1.0
Julia Sweeney,False,,,18,False,20,1.0
Julia Sweeney,False,,,19,False,20,1.0
Jason Sudeikis,True,20050507.0,,30,False,3,0.15
Jason Sudeikis,True,,,31,False,19,1.0
Jason Sudeikis,False,,,32,False,20,1.0
Jason Sudeikis,False,,,33,False,12,1.0
Jason Sudeikis,False,,,34,False,22,1.0
Jason Sudeikis,False,,,35,False,22,1.0
Jason Sudeikis,False,,,36,False,22,1.0
Jason Sudeikis,False,,,37,False,22,1.0
Jason Sudeikis,False,,,38,False,21,1.0
Cecily Strong,True,,,38,False,21,1.0
Cecily Strong,False,,,39,True,21,1.0
Cecily Strong,False,,,40,False,21,1.0
Cecily Strong,False,,,41,False,21,1.0
Cecily Strong,False,,,42,False,21,1.0
Cecily Strong,False,,,43,False,13,1.0
Ben Stiller,True,19890325.0,,14,False,6,0.3
Pamela Stephenson,False,,,10,False,17,1.0
David Spade,True,19901110.0,,16,False,16,0.8
David Spade,True,,,17,False,20,1.0
David Spade,True,,,18,False,20,1.0
David Spade,False,,,19,False,20,1.0
David Spade,False,,,20,False,20,1.0
David Spade,False,,,21,False,20,1.0
Robert Smigel,True,,,17,False,20,1.0
Robert Smigel,True,,,18,False,20,1.0
Jenny Slate,True,,,35,False,22,1.0
Sarah Silverman,True,19931009.0,,19,False,18,0.9
Martin Short,False,,,10,False,17,1.0
Harry Shearer,False,,,5,False,20,1.0
Harry Shearer,False,,19850112.0,10,False,10,0.5882352941176471
Molly Shannon,True,19950225.0,,20,False,7,0.35
Molly Shannon,False,,,21,False,20,1.0
Molly Shannon,False,,,22,False,20,1.0
Molly Shannon,False,,,23,False,20,1.0
Molly Shannon,False,,,24,False,19,1.0
Molly Shannon,False,,,25,False,20,1.0
Molly Shannon,False,,20010217.0,26,False,12,0.6
Paul Shaffer,True,19791117.0,,5,False,16,0.8
Rob Schneider,True,19901027.0,,16,False,17,0.85
Rob Schneider,True,,,17,False,20,1.0
Rob Schneider,False,,,18,False,20,1.0
Rob Schneider,False,,,19,False,20,1.0
Tom Schiller,True,19800409.0,,5,False,5,0.25
Horatio Sanz,True,,,24,False,19,1.0
Horatio Sanz,False,,,25,False,20,1.0
Horatio Sanz,False,,,26,False,20,1.0
Horatio Sanz,False,,,27,False,20,1.0
Horatio Sanz,False,,,28,False,20,1.0
Horatio Sanz,False,,,29,False,20,1.0
Horatio Sanz,False,,,30,False,20,1.0
Horatio Sanz,False,,,31,True,19,1.0
Adam Sandler,True,19910209.0,,16,False,9,0.45
Adam Sandler,True,,,17,False,20,1.0
Adam Sandler,True,,,18,False,20,1.0
Adam Sandler,False,,,19,False,20,1.0
Adam Sandler,False,,,20,False,20,1.0
Andy Samberg,True,,,31,False,19,1.0
Andy Samberg,False,,,32,False,20,1.0
Andy Samberg,False,,,33,False,12,1.0
Andy Samberg,False,,,34,False,22,1.0
Andy Samberg,False,,,35,False,22,1.0
Andy Samberg,False,,,36,False,22,1.0
Andy Samberg,False,,,37,False,22,1.0
Maya Rudolph,True,20000506.0,,25,False,3,0.15
Maya Rudolph,True,,,26,False,20,1.0
Maya Rudolph,False,,,27,False,20,1.0
Maya Rudolph,False,,,28,False,20,1.0
Maya Rudolph,False,,,29,False,20,1.0
Maya Rudolph,False,,,30,False,20,1.0
Maya Rudolph,False,,,31,False,19,1.0
Maya Rudolph,False,,,32,False,20,1.0
Maya Rudolph,False,,20071103.0,33,False,4,0.3333333333333333
Jon Rudnitsky,True,,,41,False,21,1.0
Tony Rosato,False,19810411.0,,6,False,1,0.07692307692307693
Tony Rosato,False,,,7,False,20,1.0
Charles Rocket,False,,,6,True,13,1.0
Chris Rock,True,,,16,False,20,1.0
Chris Rock,False,,,17,False,20,1.0
Chris Rock,False,,,18,False,20,1.0
Tim Robinson,True,,,38,False,21,1.0
Ann Risley,False,,,6,False,13,1.0
Rob Riggle,True,,,30,False,20,1.0
Jeff Richards,True,,,27,False,20,1.0
Jeff Richards,True,,,28,False,20,1.0
Jeff Richards,False,,20040117.0,29,False,10,0.5
Chris Redd,True,,,43,False,13,1.0
Gilda Radner,False,,,1,False,24,1.0
Gilda Radner,False,,,2,False,22,1.0
Gilda Radner,False,,,3,False,20,1.0
Gilda Radner,False,,,4,False,20,1.0
Gilda Radner,False,,,5,False,20,1.0
Colin Quinn,True,,,21,False,20,1.0
Colin Quinn,True,,,22,False,20,1.0
Colin Quinn,False,,,23,True,20,1.0
Colin Quinn,False,,,24,True,19,1.0
Colin Quinn,False,,,25,True,20,1.0
Randy Quaid,False,,,11,False,18,1.0
Emily Prager,True,19810411.0,,6,False,1,0.07692307692307693
Amy Poehler,True,,,27,False,20,1.0
Amy Poehler,False,,,28,False,20,1.0
Amy Poehler,False,,,29,False,20,1.0
Amy Poehler,False,,,30,True,20,1.0
Amy Poehler,False,,,31,True,19,1.0
Amy Poehler,False,,,32,True,20,1.0
Amy Poehler,False,,,33,True,12,1.0
Amy Poehler,False,,20081213.0,34,True,11,0.5
Joe Piscopo,False,,,6,False,13,1.0
Joe Piscopo,False,,,7,False,20,1.0
Joe Piscopo,False,,,8,False,20,1.0
Joe Piscopo,False,,,9,False,19,1.0
Jay Pharoah,True,,,36,False,22,1.0
Jay Pharoah,True,,,37,False,22,1.0
Jay Pharoah,False,,,38,False,21,1.0
Jay Pharoah,False,,,39,False,21,1.0
Jay Pharoah,False,,,40,False,21,1.0
Jay Pharoah,False,,,41,False,21,1.0
Nasim Pedrad,True,,,35,False,22,1.0
Nasim Pedrad,True,,,36,False,22,1.0
Nasim Pedrad,False,,,37,False,22,1.0
Nasim Pedrad,False,,,38,False,21,1.0
Nasim Pedrad,False,,,39,False,21,1.0
Chris Parnell,True,,,24,False,19,1.0
Chris Parnell,False,,,25,False,20,1.0
Chris Parnell,False,,,26,False,20,1.0
Chris Parnell,False,20020302.0,,27,False,8,0.4
Chris Parnell,False,,,28,False,20,1.0
Chris Parnell,False,,,29,False,20,1.0
Chris Parnell,False,,,30,False,20,1.0
Chris Parnell,False,,,31,False,19,1.0
Cheri Oteri,False,,,21,False,20,1.0
Cheri Oteri,False,,,22,False,20,1.0
Cheri Oteri,False,,,23,False,20,1.0
Cheri Oteri,False,,,24,False,19,1.0
Cheri Oteri,False,,,25,False,20,1.0
Michael O'Donoghue,False,,19751108.0,1,False,4,0.16666666666666666
Mike O'Brien,True,,,39,False,21,1.0
Luke Null,True,,,43,False,13,1.0
Don Novello,True,19791013.0,,5,False,20,1.0
Don Novello,True,,,11,False,18,1.0
Laraine Newman,False,,,1,False,24,1.0
Laraine Newman,False,,,2,False,22,1.0
Laraine Newman,False,,,3,False,20,1.0
Laraine Newman,False,,,4,False,20,1.0
Laraine Newman,False,,,5,False,20,1.0
Kevin Nealon,True,,,12,False,20,1.0
Kevin Nealon,False,,,13,False,13,1.0
Kevin Nealon,False,,,14,False,20,1.0
Kevin Nealon,False,,,15,False,20,1.0
Kevin Nealon,False,,,16,False,20,1.0
Kevin Nealon,False,,,17,True,20,1.0
Kevin Nealon,False,,,18,True,20,1.0
Kevin Nealon,False,,,19,True,20,1.0
Kevin Nealon,False,,,20,False,20,1.0
Mike Myers,True,19890121.0,,14,False,11,0.55
Mike Myers,False,,,15,False,20,1.0
Mike Myers,False,,,16,False,20,1.0
Mike Myers,False,,,17,False,20,1.0
Mike Myers,False,,,18,False,20,1.0
Mike Myers,False,,,19,False,20,1.0
Mike Myers,False,,19950121.0,20,False,11,0.55
Bill Murray,False,19770115.0,,2,False,12,0.5454545454545454
Bill Murray,False,,,3,False,20,1.0
Bill Murray,False,,,4,True,20,1.0
Bill Murray,False,,,5,True,20,1.0
Eddie Murphy,False,19801213.0,,6,False,10,0.7692307692307693
Eddie Murphy,False,,,7,False,20,1.0
Eddie Murphy,False,,,8,False,20,1.0
Eddie Murphy,False,,19840225.0,9,False,14,0.7368421052631579
Bobby Moynihan,True,,,34,False,22,1.0
Bobby Moynihan,True,,,35,False,22,1.0
Bobby Moynihan,False,,,36,False,22,1.0
Bobby Moynihan,False,,,37,False,22,1.0
Bobby Moynihan,False,,,38,False,21,1.0
Bobby Moynihan,False,,,39,False,21,1.0
Bobby Moynihan,False,,,40,False,21,1.0
Bobby Moynihan,False,,,41,False,21,1.0
Bobby Moynihan,False,,,42,False,21,1.0
