demographic_averages,demographic_counts,epno,score_counts,sid
"{'Males': 6.4, 'Females': 6.2, 'Aged 18-29': 5.8, 'Males Aged 18-29': 5.8, 'Aged 30-44': 5.8, 'Males Aged 30-44': 6.2, 'Females Aged 30-44': 1.0, 'Aged 45+': 6.9, 'Males Aged 45+': 6.4, 'Females Aged 45+': 8.0, 'Top 1000 voters': 6.1, 'US users': 6.0, 'Non-US users': 6.6, 'IMDb users': 6.0}","{'Males': 19, 'Females': 4, 'Aged 18-29': 4, 'Males Aged 18-29': 4, 'Aged 30-44': 10, 'Males Aged 30-44': 9, 'Females Aged 30-44': 1, 'Aged 45+': 9, 'Males Aged 45+': 6, 'Females Aged 45+': 3, 'Top 1000 voters': 11, 'US users': 16, 'Non-US users': 5, 'IMDb users': 27}",19,"{'10': 1, '9': 1, '8': 4, '7': 5, '6': 7, '5': 5, '4': 2, '3': 0, '2': 0, '1': 2}",18
"{'Males': 7.7, 'Females': 7.5, 'Aged 18-29': 8.3, 'Males Aged 18-29': 8.3, 'Females Aged 18-29': 8.0, 'Aged 30-44': 7.8, 'Males Aged 30-44': 8.0, 'Females Aged 30-44': 5.7, 'Aged 45+': 6.7, 'Males Aged 45+': 6.2, 'Females Aged 45+': 9.0, 'Top 1000 voters': 6.7, 'US users': 7.8, 'Non-US users': 6.5, 'IMDb users': 7.2}","{'Males': 37, 'Females': 7, 'Aged 18-29': 9, 'Males Aged 18-29': 6, 'Females Aged 18-29': 2, 'Aged 30-44': 23, 'Males Aged 30-44': 20, 'Females Aged 30-44': 3, 'Aged 45+': 12, 'Males Aged 45+': 10, 'Females Aged 45+': 2, 'Top 1000 voters': 16, 'US users': 31, 'Non-US users': 9, 'IMDb users': 53}",18,"{'10': 18, '9': 3, '8': 3, '7': 11, '6': 6, '5': 4, '4': 2, '3': 1, '2': 4, '1': 1}",18
"{'Males': 6.3, 'Females': 6.3, 'Aged 18-29': 7.3, 'Males Aged 18-29': 7.5, 'Aged 30-44': 5.8, 'Males Aged 30-44': 6.1, 'Females Aged 30-44': 1.0, 'Aged 45+': 6.5, 'Males Aged 45+': 5.8, 'Females Aged 45+': 9.0, 'Top 1000 voters': 5.9, 'US users': 6.2, 'Non-US users': 6.5, 'IMDb users': 6.2}","{'Males': 19, 'Females': 3, 'Aged 18-29': 3, 'Males Aged 18-29': 2, 'Aged 30-44': 12, 'Males Aged 30-44': 11, 'Females Aged 30-44': 1, 'Aged 45+': 8, 'Males Aged 45+': 6, 'Females Aged 45+': 2, 'Top 1000 voters': 11, 'US users': 16, 'Non-US users': 4, 'IMDb users': 28}",17,"{'10': 1, '9': 2, '8': 4, '7': 6, '6': 6, '5': 6, '4': 1, '3': 0, '2': 0, '1': 2}",18
"{'Males': 7.6, 'Females': 7.3, 'Aged 18-29': 8.4, 'Males Aged 18-29': 8.6, 'Females Aged 18-29': 10.0, 'Aged 30-44': 6.8, 'Males Aged 30-44': 7.0, 'Females Aged 30-44': 4.0, 'Aged 45+': 8.2, 'Males Aged 45+': 7.8, 'Females Aged 45+': 9.0, 'Top 1000 voters': 7.0, 'US users': 7.9, 'Non-US users': 6.6, 'IMDb users': 7.1}","{'Males': 24, 'Females': 5, 'Aged 18-29': 7, 'Males Aged 18-29': 5, 'Females Aged 18-29': 1, 'Aged 30-44': 15, 'Males Aged 30-44': 13, 'Females Aged 30-44': 2, 'Aged 45+': 8, 'Males Aged 45+': 6, 'Females Aged 45+': 2, 'Top 1000 voters': 14, 'US users': 20, 'Non-US users': 8, 'IMDb users': 36}",16,"{'10': 8, '9': 0, '8': 6, '7': 11, '6': 3, '5': 6, '4': 0, '3': 1, '2': 0, '1': 1}",18
"{'Males': 7.7, 'Females': 7.2, 'Aged 18-29': 7.1, 'Males Aged 18-29': 7.8, 'Females Aged 18-29': 10.0, 'Aged 30-44': 7.3, 'Males Aged 30-44': 7.8, 'Females Aged 30-44': 1.0, 'Aged 45+': 7.8, 'Males Aged 45+': 7.4, 'Females Aged 45+': 9.0, 'Top 1000 voters': 7.2, 'US users': 7.7, 'Non-US users': 8.0, 'IMDb users': 7.4}","{'Males': 20, 'Females': 4, 'Aged 18-29': 6, 'Males Aged 18-29': 4, 'Females Aged 18-29': 1, 'Aged 30-44': 11, 'Males Aged 30-44': 10, 'Females Aged 30-44': 1, 'Aged 45+': 8, 'Males Aged 45+': 6, 'Females Aged 45+': 2, 'Top 1000 voters': 12, 'US users': 15, 'Non-US users': 7, 'IMDb users': 31}",15,"{'10': 9, '9': 0, '8': 5, '7': 10, '6': 2, '5': 3, '4': 0, '3': 0, '2': 1, '1': 1}",18
"{'Males': 6.7, 'Females': 6.5, 'Aged 18-29': 7.7, 'Males Aged 18-29': 8.0, 'Aged 30-44': 6.2, 'Males Aged 30-44': 6.5, 'Females Aged 30-44': 4.0, 'Aged 45+': 7.3, 'Males Aged 45+': 6.5, 'Females Aged 45+': 9.0, 'Top 1000 voters': 6.2, 'US users': 6.5, 'Non-US users': 6.7, 'IMDb users': 6.5}","{'Males': 20, 'Females': 4, 'Aged 18-29': 3, 'Males Aged 18-29': 2, 'Aged 30-44': 15, 'Males Aged 30-44': 13, 'Females Aged 30-44': 2, 'Aged 45+': 7, 'Males Aged 45+': 5, 'Females Aged 45+': 2, 'Top 1000 voters': 11, 'US users': 19, 'Non-US users': 3, 'IMDb users': 29}",14,"{'10': 2, '9': 0, '8': 8, '7': 7, '6': 5, '5': 4, '4': 0, '3': 1, '2': 0, '1': 2}",18
"{'Males': 8.5, 'Females': 6.9, 'Aged 18-29': 7.6, 'Males Aged 18-29': 8.6, 'Females Aged 18-29': 6.3, 'Aged 30-44': 8.2, 'Males Aged 30-44': 8.4, 'Females Aged 30-44': 6.7, 'Aged 45+': 8.6, 'Males Aged 45+': 8.3, 'Females Aged 45+': 9.0, 'Top 1000 voters': 7.5, 'US users': 7.9, 'Non-US users': 8.5, 'IMDb users': 8.0}","{'Males': 25, 'Females': 8, 'Aged 18-29': 12, 'Males Aged 18-29': 8, 'Females Aged 18-29': 3, 'Aged 30-44': 14, 'Males Aged 30-44': 11, 'Females Aged 30-44': 3, 'Aged 45+': 8, 'Males Aged 45+': 6, 'Females Aged 45+': 2, 'Top 1000 voters': 16, 'US users': 20, 'Non-US users': 7, 'IMDb users': 40}",13,"{'10': 12, '9': 5, '8': 13, '7': 4, '6': 1, '5': 2, '4': 1, '3': 0, '2': 0, '1': 2}",18
"{'Males': 8.2, 'Females': 6.7, 'Aged 18-29': 8.9, 'Males Aged 18-29': 8.6, 'Females Aged 18-29': 9.0, 'Aged 30-44': 7.9, 'Males Aged 30-44': 8.2, 'Females Aged 30-44': 1.0, 'Aged 45+': 7.9, 'Males Aged 45+': 7.6, 'Females Aged 45+': 8.7, 'Top 1000 voters': 7.1, 'US users': 7.9, 'Non-US users': 8.0, 'IMDb users': 7.8}","{'Males': 29, 'Females': 9, 'Aged 18-29': 10, 'Males Aged 18-29': 7, 'Females Aged 18-29': 2, 'Aged 30-44': 17, 'Males Aged 30-44': 15, 'Females Aged 30-44': 1, 'Aged 45+': 12, 'Males Aged 45+': 7, 'Females Aged 45+': 5, 'Top 1000 voters': 16, 'US users': 24, 'Non-US users': 9, 'IMDb users': 48}",12,"{'10': 16, '9': 5, '8': 9, '7': 9, '6': 2, '5': 2, '4': 0, '3': 2, '2': 1, '1': 2}",18
"{'Males': 5.9, 'Females': 4.9, 'Aged 18-29': 5.0, 'Males Aged 18-29': 7.0, 'Females Aged 18-29': 1.0, 'Aged 30-44': 5.6, 'Males Aged 30-44': 5.9, 'Females Aged 30-44': 4.0, 'Aged 45+': 6.0, 'Males Aged 45+': 5.5, 'Females Aged 45+': 9.0, 'Top 1000 voters': 5.4, 'US users': 5.6, 'Non-US users': 5.2, 'IMDb users': 5.5}","{'Males': 22, 'Females': 5, 'Aged 18-29': 3, 'Males Aged 18-29': 2, 'Females Aged 18-29': 1, 'Aged 30-44': 14, 'Males Aged 30-44': 12, 'Females Aged 30-44': 2, 'Aged 45+': 10, 'Males Aged 45+': 8, 'Females Aged 45+': 2, 'Top 1000 voters': 13, 'US users': 20, 'Non-US users': 5, 'IMDb users': 35}",11,"{'10': 2, '9': 1, '8': 2, '7': 11, '6': 3, '5': 5, '4': 4, '3': 1, '2': 3, '1': 3}",18
"{'Males': 7.3, 'Females': 6.3, 'Aged 18-29': 7.8, 'Males Aged 18-29': 8.0, 'Aged 30-44': 7.5, 'Males Aged 30-44': 7.6, 'Females Aged 30-44': 1.0, 'Aged 45+': 6.4, 'Males Aged 45+': 5.8, 'Females Aged 45+': 9.0, 'Top 1000 voters': 6.7, 'US users': 7.2, 'Non-US users': 7.2, 'IMDb users': 7.2}","{'Males': 24, 'Females': 3, 'Aged 18-29': 4, 'Males Aged 18-29': 3, 'Aged 30-44': 17, 'Males Aged 30-44': 16, 'Females Aged 30-44': 1, 'Aged 45+': 7, 'Males Aged 45+': 5, 'Females Aged 45+': 2, 'Top 1000 voters': 16, 'US users': 18, 'Non-US users': 7, 'IMDb users': 37}",10,"{'10': 8, '9': 2, '8': 3, '7': 13, '6': 4, '5': 6, '4': 0, '3': 0, '2': 0, '1': 1}",18
