aired,epid,epno,sid
"September 30, 2017",20170930,0,43
"May 20, 2017",20170520,20,42
"May 13, 2017",20170513,19,42
"May 6, 2017",20170506,18,42
"April 15, 2017",20170415,17,42
"April 8, 2017",20170408,16,42
"March 11, 2017",20170311,15,42
"March 4, 2017",20170304,14,42
"February 11, 2017",20170211,13,42
"February 4, 2017",20170204,12,42
"January 21, 2017",20170121,11,42
"January 14, 2017",20170114,10,42
"December 17, 2016",20161217,9,42
"December 10, 2016",20161210,8,42
"December 3, 2016",20161203,7,42
"November 19, 2016",20161119,6,42
"November 12, 2016",20161112,5,42
"November 5, 2016",20161105,4,42
"October 22, 2016",20161022,3,42
"October 15, 2016",20161015,2,42
"October 8, 2016",20161008,1,42
"October 1, 2016",20161001,0,42
"May 21, 2016",20160521,20,41
"May 14, 2016",20160514,19,41
"May 7, 2016",20160507,18,41
"April 16, 2016",20160416,17,41
"April 9, 2016",20160409,16,41
"April 2, 2016",20160402,15,41
"March 12, 2016",20160312,14,41
"March 5, 2016",20160305,13,41
"February 13, 2016",20160213,12,41
"February 6, 2016",20160206,11,41
"January 23, 2016",20160123,10,41
"January 16, 2016",20160116,9,41
"December 19, 2015",20151219,8,41
"December 12, 2015",20151212,7,41
"December 5, 2015",20151205,6,41
"November 21, 2015",20151121,5,41
"November 14, 2015",20151114,4,41
"November 7, 2015",20151107,3,41
"October 17, 2015",20151017,2,41
"October 10, 2015",20151010,1,41
"October 3, 2015",20151003,0,41
"May 16, 2015",20150516,20,40
"May 9, 2015",20150509,19,40
"May 2, 2015",20150502,18,40
"April 11, 2015",20150411,17,40
"April 4, 2015",20150404,16,40
"March 28, 2015",20150328,15,40
"March 7, 2015",20150307,14,40
"February 28, 2015",20150228,13,40
"January 31, 2015",20150131,12,40
"January 24, 2015",20150124,11,40
"January 17, 2015",20150117,10,40
"December 20, 2014",20141220,9,40
"December 13, 2014",20141213,8,40
"December 6, 2014",20141206,7,40
"November 22, 2014",20141122,6,40
"November 15, 2014",20141115,5,40
"November 1, 2014",20141101,4,40
"October 25, 2014",20141025,3,40
"October 11, 2014",20141011,2,40
"October 4, 2014",20141004,1,40
"September 27, 2014",20140927,0,40
"May 17, 2014",20140517,20,39
"May 10, 2014",20140510,19,39
"May 3, 2014",20140503,18,39
"April 12, 2014",20140412,17,39
"April 5, 2014",20140405,16,39
"March 29, 2014",20140329,15,39
"March 8, 2014",20140308,14,39
"March 1, 2014",20140301,13,39
"February 1, 2014",20140201,12,39
"January 25, 2014",20140125,11,39
"January 18, 2014",20140118,10,39
"December 21, 2013",20131221,9,39
"December 14, 2013",20131214,8,39
"December 7, 2013",20131207,7,39
"November 23, 2013",20131123,6,39
"November 16, 2013",20131116,5,39
"November 2, 2013",20131102,4,39
"October 26, 2013",20131026,3,39
"October 12, 2013",20131012,2,39
"October 5, 2013",20131005,1,39
"September 28, 2013",20130928,0,39
"May 18, 2013",20130518,20,38
"May 11, 2013",20130511,19,38
"May 4, 2013",20130504,18,38
"April 13, 2013",20130413,17,38
"April 6, 2013",20130406,16,38
"March 9, 2013",20130309,15,38
"March 2, 2013",20130302,14,38
"February 16, 2013",20130216,13,38
"February 9, 2013",20130209,12,38
"January 26, 2013",20130126,11,38
"January 19, 2013",20130119,10,38
"December 15, 2012",20121215,9,38
"December 8, 2012",20121208,8,38
"November 17, 2012",20121117,7,38
"November 10, 2012",20121110,6,38
"November 3, 2012",20121103,5,38
"October 20, 2012",20121020,4,38
"October 13, 2012",20121013,3,38
"October 6, 2012",20121006,2,38
"September 22, 2012",20120922,1,38
"September 15, 2012",20120915,0,38
"May 19, 2012",20120519,21,37
"May 12, 2012",20120512,20,37
"May 5, 2012",20120505,19,37
"April 14, 2012",20120414,18,37
"April 7, 2012",20120407,17,37
"March 10, 2012",20120310,16,37
"March 3, 2012",20120303,15,37
"February 18, 2012",20120218,14,37
"February 11, 2012",20120211,13,37
"February 4, 2012",20120204,12,37
"January 14, 2012",20120114,11,37
"January 7, 2012",20120107,10,37
"December 17, 2011",20111217,9,37
"December 10, 2011",20111210,8,37
"December 3, 2011",20111203,7,37
"November 19, 2011",20111119,6,37
"November 12, 2011",20111112,5,37
"November 5, 2011",20111105,4,37
"October 15, 2011",20111015,3,37
"October 8, 2011",20111008,2,37
"October 1, 2011",20111001,1,37
"September 24, 2011",20110924,0,37
"May 21, 2011",20110521,21,36
"May 14, 2011",20110514,20,36
"May 7, 2011",20110507,19,36
"April 9, 2011",20110409,18,36
"April 2, 2011",20110402,17,36
"March 12, 2011",20110312,16,36
"March 5, 2011",20110305,15,36
"February 12, 2011",20110212,14,36
"February 5, 2011",20110205,13,36
"January 29, 2011",20110129,12,36
"January 15, 2011",20110115,11,36
"January 8, 2011",20110108,10,36
"December 18, 2010",20101218,9,36
"December 11, 2010",20101211,8,36
"December 4, 2010",20101204,7,36
"November 20, 2010",20101120,6,36
"November 13, 2010",20101113,5,36
"October 30, 2010",20101030,4,36
"October 23, 2010",20101023,3,36
"October 9, 2010",20101009,2,36
"October 2, 2010",20101002,1,36
"September 25, 2010",20100925,0,36
"May 15, 2010",20100515,21,35
"May 8, 2010",20100508,20,35
"April 24, 2010",20100424,19,35
"April 17, 2010",20100417,18,35
"April 10, 2010",20100410,17,35
"March 13, 2010",20100313,16,35
"March 6, 2010",20100306,15,35
"February 27, 2010",20100227,14,35
"February 6, 2010",20100206,13,35
"January 30, 2010",20100130,12,35
"January 16, 2010",20100116,11,35
"January 9, 2010",20100109,10,35
"December 19, 2009",20091219,9,35
"December 12, 2009",20091212,8,35
"December 5, 2009",20091205,7,35
"November 21, 2009",20091121,6,35
"November 14, 2009",20091114,5,35
"November 7, 2009",20091107,4,35
"October 17, 2009",20091017,3,35
"October 10, 2009",20091010,2,35
"October 3, 2009",20091003,1,35
"September 26, 2009",20090926,0,35
"May 16, 2009",20090516,21,34
"May 9, 2009",20090509,20,34
"April 11, 2009",20090411,19,34
"April 4, 2009",20090404,18,34
"March 14, 2009",20090314,17,34
"March 7, 2009",20090307,16,34
"February 14, 2009",20090214,15,34
"February 7, 2009",20090207,14,34
"January 31, 2009",20090131,13,34
"January 17, 2009",20090117,12,34
"January 10, 2009",20090110,11,34
"December 13, 2008",20081213,10,34
"December 6, 2008",20081206,9,34
"November 22, 2008",20081122,8,34
"November 15, 2008",20081115,7,34
"November 1, 2008",20081101,6,34
"October 25, 2008",20081025,5,34
"October 18, 2008",20081018,4,34
"October 4, 2008",20081004,3,34
"September 27, 2008",20080927,2,34
"September 20, 2008",20080920,1,34
"September 13, 2008",20080913,0,34
"May 17, 2008",20080517,11,33
"May 10, 2008",20080510,10,33
"April 12, 2008",20080412,9,33
"April 5, 2008",20080405,8,33
"March 15, 2008",20080315,7,33
"March 8, 2008",20080308,6,33
"March 1, 2008",20080301,5,33
"February 23, 2008",20080223,4,33
"November 3, 2007",20071103,3,33
"October 13, 2007",20071013,2,33
"October 6, 2007",20071006,1,33
"September 29, 2007",20070929,0,33
"May 19, 2007",20070519,19,32
"May 12, 2007",20070512,18,32
"April 21, 2007",20070421,17,32
"April 14, 2007",20070414,16,32
"March 24, 2007",20070324,15,32
"March 17, 2007",20070317,14,32
"February 24, 2007",20070224,13,32
"February 10, 2007",20070210,12,32
"February 3, 2007",20070203,11,32
"January 20, 2007",20070120,10,32
"January 13, 2007",20070113,9,32
"December 16, 2006",20061216,8,32
"December 9, 2006",20061209,7,32
"December 2, 2006",20061202,6,32
"November 18, 2006",20061118,5,32
"November 11, 2006",20061111,4,32
"October 28, 2006",20061028,3,32
"October 21, 2006",20061021,2,32
"October 7, 2006",20061007,1,32
"September 30, 2006",20060930,0,32
"May 20, 2006",20060520,18,31
"May 13, 2006",20060513,17,31
"May 6, 2006",20060506,16,31
"April 15, 2006",20060415,15,31
"April 8, 2006",20060408,14,31
"March 11, 2006",20060311,13,31
"March 4, 2006",20060304,12,31
"February 4, 2006",20060204,11,31
"January 21, 2006",20060121,10,31
"January 14, 2006",20060114,9,31
"December 17, 2005",20051217,8,31
"December 10, 2005",20051210,7,31
"December 3, 2005",20051203,6,31
"November 19, 2005",20051119,5,31
"November 12, 2005",20051112,4,31
"October 29, 2005",20051029,3,31
"October 22, 2005",20051022,2,31
"October 8, 2005",20051008,1,31
"October 1, 2005",20051001,0,31
"May 21, 2005",20050521,19,30
"May 14, 2005",20050514,18,30
"May 7, 2005",20050507,17,30
"April 16, 2005",20050416,16,30
"April 9, 2005",20050409,15,30
"March 19, 2005",20050319,14,30
"March 12, 2005",20050312,13,30
"February 19, 2005",20050219,12,30
"February 12, 2005",20050212,11,30
"February 5, 2005",20050205,10,30
"January 22, 2005",20050122,9,30
"January 15, 2005",20050115,8,30
"December 18, 2004",20041218,7,30
"December 11, 2004",20041211,6,30
"November 20, 2004",20041120,5,30
"November 13, 2004",20041113,4,30
"October 30, 2004",20041030,3,30
"October 23, 2004",20041023,2,30
"October 9, 2004",20041009,1,30
"October 2, 2004",20041002,0,30
"May 15, 2004",20040515,19,29
"May 8, 2004",20040508,18,29
"May 1, 2004",20040501,17,29
"April 10, 2004",20040410,16,29
"April 3, 2004",20040403,15,29
"March 13, 2004",20040313,14,29
"March 6, 2004",20040306,13,29
"February 21, 2004",20040221,12,29
"February 14, 2004",20040214,11,29
"February 7, 2004",20040207,10,29
"January 17, 2004",20040117,9,29
"January 10, 2004",20040110,8,29
"December 13, 2003",20031213,7,29
"December 6, 2003",20031206,6,29
"November 15, 2003",20031115,5,29
"November 8, 2003",20031108,4,29
"November 1, 2003",20031101,3,29
"October 18, 2003",20031018,2,29
"October 11, 2003",20031011,1,29
"October 4, 2003",20031004,0,29
"May 17, 2003",20030517,19,28
"May 10, 2003",20030510,18,28
"May 3, 2003",20030503,17,28
"April 12, 2003",20030412,16,28
"April 5, 2003",20030405,15,28
"March 15, 2003",20030315,14,28
"March 8, 2003",20030308,13,28
"February 22, 2003",20030222,12,28
"February 15, 2003",20030215,11,28
"February 8, 2003",20030208,10,28
"January 18, 2003",20030118,9,28
"January 11, 2003",20030111,8,28
"December 14, 2002",20021214,7,28
"December 7, 2002",20021207,6,28
"November 16, 2002",20021116,5,28
"November 9, 2002",20021109,4,28
"November 2, 2002",20021102,3,28
"October 19, 2002",20021019,2,28
"October 12, 2002",20021012,1,28
"October 5, 2002",20021005,0,28
"May 18, 2002",20020518,19,27
"May 11, 2002",20020511,18,27
"April 20, 2002",20020420,17,27
"April 13, 2002",20020413,16,27
"April 6, 2002",20020406,15,27
"March 16, 2002",20020316,14,27
"March 9, 2002",20020309,13,27
"March 2, 2002",20020302,12,27
"February 2, 2002",20020202,11,27
"January 19, 2002",20020119,10,27
"January 12, 2002",20020112,9,27
"December 15, 2001",20011215,8,27
"December 8, 2001",20011208,7,27
"December 1, 2001",20011201,6,27
"November 17, 2001",20011117,5,27
"November 10, 2001",20011110,4,27
"November 3, 2001",20011103,3,27
"October 13, 2001",20011013,2,27
"October 6, 2001",20011006,1,27
"September 29, 2001",20010929,0,27
"May 19, 2001",20010519,19,26
"May 12, 2001",20010512,18,26
"May 5, 2001",20010505,17,26
"April 14, 2001",20010414,16,26
"April 7, 2001",20010407,15,26
"March 17, 2001",20010317,14,26
"March 10, 2001",20010310,13,26
"February 24, 2001",20010224,12,26
"February 17, 2001",20010217,11,26
"February 10, 2001",20010210,10,26
"January 20, 2001",20010120,9,26
"January 13, 2001",20010113,8,26
"December 16, 2000",20001216,7,26
"December 9, 2000",20001209,6,26
"November 18, 2000",20001118,5,26
"November 11, 2000",20001111,4,26
"November 4, 2000",20001104,3,26
"October 21, 2000",20001021,2,26
"October 14, 2000",20001014,1,26
"October 7, 2000",20001007,0,26
"May 20, 2000",20000520,19,25
"May 13, 2000",20000513,18,25
"May 6, 2000",20000506,17,25
"April 15, 2000",20000415,16,25
"April 8, 2000",20000408,15,25
"March 18, 2000",20000318,14,25
"March 11, 2000",20000311,13,25
"February 19, 2000",20000219,12,25
"February 12, 2000",20000212,11,25
"February 5, 2000",20000205,10,25
"January 15, 2000",20000115,9,25
"January 8, 2000",20000108,8,25
"December 11, 1999",19991211,7,25
"December 4, 1999",19991204,6,25
"November 20, 1999",19991120,5,25
"November 13, 1999",19991113,4,25
"November 6, 1999",19991106,3,25
"October 23, 1999",19991023,2,25
"October 16, 1999",19991016,1,25
"October 2, 1999",19991002,0,25
"May 15, 1999",19990515,18,24
"May 8, 1999",19990508,17,24
"April 10, 1999",19990410,16,24
"March 20, 1999",19990320,15,24
"March 13, 1999",19990313,14,24
"February 20, 1999",19990220,13,24
"February 13, 1999",19990213,12,24
"February 6, 1999",19990206,11,24
"January 16, 1999",19990116,10,24
"January 9, 1999",19990109,9,24
"December 12, 1998",19981212,8,24
"December 5, 1998",19981205,7,24
"November 21, 1998",19981121,6,24
"November 14, 1998",19981114,5,24
"November 7, 1998",19981107,4,24
"October 24, 1998",19981024,3,24
"October 17, 1998",19981017,2,24
"October 3, 1998",19981003,1,24
"September 26, 1998",19980926,0,24
"May 9, 1998",19980509,19,23
"May 2, 1998",19980502,18,23
"April 11, 1998",19980411,17,23
"April 4, 1998",19980404,16,23
"March 14, 1998",19980314,15,23
"March 7, 1998",19980307,14,23
"February 28, 1998",19980228,13,23
"February 14, 1998",19980214,12,23
"February 7, 1998",19980207,11,23
"January 17, 1998",19980117,10,23
"January 10, 1998",19980110,9,23
"December 13, 1997",19971213,8,23
