epid,aid
20210410,Carey Mulligan
20210403,Daniel Kaluuya
20210327,Maya Rudolph
20210227,Nick Jonas
20210220,Rege-Jean Page
20210213,Regina King
20210206,Dan Levy
20210130,John Krasinski
20201219,Kristen Wiig
20201212,Timothee Chalamet
20201205,Jason Bateman
20201107,Dave Chappelle
20201031,John Mulaney
20201024,Adele
20201017,Issa Rae
20201010,Bill Burr
20201003,Chris Rock
20200509,Kristen Wiig
20200411,Tom Hanks
20200307,Daniel Craig
20200229,John Mulaney
20200208,RuPaul
20200201,J.J. Watt
20200125,Adam Driver
20191221,Eddie Murphy
20191214,Scarlett Johansson
20191207,Jennifer Lopez
20191123,Will Ferrell
20191116,Harry Styles
20191102,Kristen Stewart
20191026,Chance the Rapper
20191012,David Harbour
20191005,Phoebe Waller-Bridge
20190928,Woody Harrelson
20190518,Paul Rudd
20190511,Emma Thompson
20190504,Adam Sandler
20190413,Emma Stone
20190406,Kit Harington
20190330,Sandra Oh
20190309,Idris Elba
20190302,John Mulaney
20190216,Don Cheadle
20190209,Halsey
20190126,James McAvoy
20190119,Rachel Brosnahan
20181215,Matt Damon
20181208,Jason Momoa
20181201,Claire Foy
20181117,Steve Carell
20181110,Liev Schreiber
20181103,Jonah Hill
20181013,Seth Meyers
20181006,Awkwafina
20180929,Adam Driver
20180519,Tina Fey
20180512,Amy Schumer
20180505,Donald Glover
20180414,John Mulaney
20180407,Chadwick Boseman
20180317,Bill Hader
20180310,Sterling K. Brown
20180303,Charles Barkley
20180203,Natalie Portman
20180127,Will Ferrell
20180120,Jessica Chastain
20180113,Sam Rockwell
20171216,Kevin Hart
20171209,James Franco
20171202,Saoirse Ronan
20171118,Chance the Rapper
20171111,Tiffany Haddish
20171104,Larry David
20171014,Kumail Nanjiani
20171007,Gal Gadot
20170930,Ryan Gosling
20170520,Dwayne Johnson
20170513,Melissa McCarthy
20170506,Chris Pine
20170415,Jimmy Fallon
20170408,Louis C.K.
20170311,Scarlett Johansson
20170304,Octavia Spencer
20170211,Alec Baldwin
20170204,Kristen Stewart
20170121,Aziz Ansari
20170114,Felicity Jones
20161217,Casey Affleck
20161210,John Cena
20161203,Emma Stone
20161119,Kristen Wiig
20161112,Dave Chappelle
