impid,aid,name
4142,Chris Redd,Barack Obama
4143,Beck Bennett,Bruce Springsteen
4141,Pete Davidson,Matt Gaetz
4057,Chloe Fineman,Britney Spears
4140,Chris Redd,Lil Nas X
2258,Maya Rudolph,Beyoncé
4134,Mikey Day,Sean Evans
4005,Maya Rudolph,Kamala Harris
4135,Martin Short,Doug Emhoff
4121,Aidy Bryant,Ted Cruz
4136,Chloe Fineman,Ella Emhoff
4096,Alex Moffat,Joe Biden
4100,Cecily Strong,Marjorie Taylor Greene
4137,Kenan Thompson,Raphael Warnock
4138,Kate McKinnon,Janet Yellen
4139,Cecily Strong,Sidney Powell
4126,Pete Davidson,Andrew Cuomo
4089,Kate McKinnon,Dr. Anthony Fauci
4130,Alex Moffat,Gavin Newsom
4131,Cecily Strong,Gretchen Whitmer
3782,Kenan Thompson,LaVar Ball
4093,Pete Davidson,Machine Gun Kelly
4094,Punkie Johnson,Brittani Warrick
4091,Ego Nwodim,Dionne Warwick
4132,Kenan Thompson,The Weeknd
4133,Melissa Villasenor,Dua Lipa
4125,Cecily Strong,Gina Carano
4127,Rege-Jean Page,Kingsley Ben-Adir
3862,Alex Moffat,Hugh Grant
4128,Chris Redd,Daniel Kaluuya
3085,Kenan Thompson,Ice Cube
4129,Chloe Fineman,Phoebe Dynevor
3901,Beck Bennett,Mitch McConnell
4123,Pete Davidson,Michael van der Veen
4122,Mikey Day,Bruce Castor
3653,Kate McKinnon,Lindsey Graham
3942,Alex Moffat,Tucker Carlson
4124,Beck Bennett,Tom Brady
4115,Beck Bennett,Boomer Esiason
4112,Aidy Bryant,Andy Reid
4113,Aidy Bryant,Bruce Arians
4117,Mikey Day,Phil Simms
4114,Alex Moffat,Bill Cowher
4116,Chris Redd,Nate Burleson
3292,Kenan Thompson,James Brown (II)
4118,Bowen Yang,Psy
4119,Kenan Thompson,Tim Williams
4120,Chris Redd,Fred Williams
4099,John Krasinski,Tom Brady
4101,Mikey Day,Jack Dorsey
3875,Alex Moffat,Mark Zuckerberg
2613,Kenan Thompson,O.J. Simpson
4103,Beck Bennett,David Harbour
4108,Pete Davidson,Nicholas Braun
4105,Chloe Fineman,Kim Cattrall
4065,Chloe Fineman,Nicole Kidman
4106,Kate McKinnon,Gillian Anderson
4102,Alex Moffat,Kelsey Grammer
4104,Cecily Strong,Julie Andrews
4107,Melissa Villasenor,Anya Taylor-Joy
4081,Beck Bennett,Mike Lindell
4109,Bowen Yang,Fran Lebowitz
4110,Kyle Mooney,Martin Scorsese
4111,John Krasinski,David Ruprecht
3703,Beck Bennett,Mike Pence
4097,Lauren Holt,Karen Pence
3882,Kate McKinnon,Rudy Giuliani
3599,Kenan Thompson,Ben Carson
4098,Chris Redd,Smokey Robinson
3677,Beck Bennett,Wolf Blitzer
4088,Heidi Gardner,Dr. Deborah Birx
4090,Timothee Chalamet,Harry Styles
4055,Chloe Fineman,Timothée Chalamet
4092,Melissa Villasenor,Billie Eilish
4095,Punkie Johnson,Queen Latifah
4085,Mikey Day,Matt Hall
4084,Lauren Holt,Jenna Ellis
4083,Ego Nwodim,Cynthia A. Johnson
4082,Cecily Strong,Melissa Carone
4087,Kate McKinnon,Dido
4086,Bowen Yang,Elton John
3692,Alec Baldwin,Donald Trump
4060,Jim Carrey,Joe Biden
4079,Chloe Fineman,Kayleigh McEnany
4078,Alex Moffat,John King
4080,Dave Chappelle,Dennis Haysbert
3700,Mikey Day,Donald Trump Jr.
4076,Mikey Day,Nate Silver
3352,Kate McKinnon,Hillary Clinton
3798,Chris Redd,Lil Wayne
4077,Kate McKinnon,Tippi Hedren
4074,Maya Rudolph,Kristen Welker
4075,Alex Moffat,Alan Dershowitz
4049,Mikey Day,George Stephanopoulos
4071,Chloe Fineman,Paulette Dale
4072,Kate McKinnon,Savannah Guthrie
3695,Alex Moffat,Eric Trump
4073,Chloe Fineman,Tiffany Trump
4069,Heidi Gardner,Jill Biden
4070,Kate McKinnon,Susan Page
3104,Kenan Thompson,Herman Cain
4061,Beck Bennett,Chris Wallace
4062,Cecily Strong,Kimberly Guilfoyle
4064,Chloe Fineman,Drew Barrymore
4066,Chloe Fineman,Reese Witherspoon
4063,Alex Moffat,Tom Green
4067,Kenan Thompson,Billy Porter
3264,Kate McKinnon,Ruth Bader Ginsburg
4068,Alex Moffat,Adam Silver
4058,Chloe Fineman,Phoebe Waller-Bridge
4059,Melissa Villasenor,John Mulaney
3571,Cecily Strong,Jeanine Pirro
4056,Brad Pitt,Dr. Anthony Fauci
3470,Kenan Thompson,David Ortiz
3624,Larry David,Bernie Sanders
4053,Chloe Fineman,Carole Baskin
4054,Chloe Fineman,JoJo Siwa
1852,Darrell Hammond,Chris Matthews
3756,Kate McKinnon,Elizabeth Warren
3880,Kate McKinnon,Laura Ingraham
4052,Mikey Day,Rian Johnson
4051,John Mulaney,Joe Biden
3027,Fred Armisen,Mike Bloomberg
3893,Rachel Dratch,Amy Klobuchar
4009,Colin Jost,Pete Buttigieg
2638,Jason Sudeikis,Joe Biden
4050,Pete Davidson,Tom Steyer
4047,Alex Moffat,David Muir
4048,Ego Nwodim,Linsey Davis
4007,Bowen Yang,Andrew Yang
4046,Pete Davidson,Hunter Biden
4045,Mikey Day,John Roberts
4016,Alex Moffat,Adam Schiff
4043,Cecily Strong,John Bolton
4044,Kenan Thompson,Greg Mathis
4041,Adam Driver,Jeffrey Epstein
4040,Jon Lovitz,Alan Dershowitz
3902,Cecily Strong,Susan Collins
4042,Bowen Yang,Kim Min-seok
4034,Heidi Gardner,Judy Woodruff
3813,Kate McKinnon,Nancy Pelosi
4023,Cecily Strong,Tulsi Gabbard
4035,Beck Bennett,Robin Thicke
4038,Kate McKinnon,Jenny McCarthy
4037,Chris Redd,Nick Cannon
4039,Melissa Villasenor,Nicole Scherzinger
4036,Bowen Yang,Ken Jeong
4032,Kate McKinnon,Greta Thunberg
4033,Beck Bennett,George T. Conway III
3698,Kate McKinnon,Kellyanne Conway
3840,Alex Moffat,Steve Doocy
4025,James Corden,Boris Johnson
4026,Jimmy Fallon,Justin Trudeau
4027,Paul Rudd,Emmanuel Macron
4031,Mikey Day,Klaus Iohannis
4029,Chloe Fineman,Erna Solberg
4030,Heidi Gardner,Mette Frederiksen
3375,Kate McKinnon,Angela Merkel
4028,Alex Moffat,Egils Levits
3603,Cecily Strong,Melania Trump
4021,Will Ferrell,Gordon Sondland
4022,Will Ferrell,Tom Steyer
4004,Woody Harrelson,Joe Biden
3837,Chris Redd,Cory Booker
4024,Melissa Villasenor,Rachel Maddow
4015,Jon Hamm,Bill Taylor
3968,Pete Davidson,Michael Avenatti
4020,Mikey Day,Jim Jordan
4019,Kyle Mooney,Gordon Sondland
4017,Cecily Strong,Marie Yovanovitch
4018,Kenan Thompson,Myles Garrett
3925,Melissa Villasenor,Alexandria Ocasio-Cortez
