order,epid,tid,name,category,skid,sid
0,20210410,202104101,Eye On Minnesota,Cold Opening,,46
1,20210410,202104102,,Monologue,,46
2,20210410,202104103,What's Wrong With This Picture,Game Show,300.0,46
3,20210410,202104104,Tremfalta,Commercial,,46
4,20210410,202104105,Study Buddy,Sketch,,46
5,20210410,202104106,Weird Little Flute,Music Video,,46
6,20210410,202104107,"""Tequila Shots""",Musical Performance,,46
7,20210410,202104108,,Weekend Update,,46
8,20210410,202104109,,In Memoriam,,46
9,20210410,2021041010,Starcharter Andromeda,Show,,46
10,20210410,2021041011,Lesbian Period Drama,Commercial,,46
11,20210410,2021041012,The War In Words,Show,298.0,46
12,20210410,2021041013,"""Sad People""",Musical Performance,,46
13,20210410,2021041014,L'eggs,Sketch,,46
14,20210410,2021041015,,In Memoriam,,46
15,20210410,2021041016,,Goodnights,,46
0,20210403,202104031,"Oops, You Did It Again",Cold Opening,303.0,46
1,20210403,202104032,,Monologue,,46
2,20210403,202104033,Will You Take It?,Game Show,,46
3,20210403,202104034,Viral Apology Video,Film,,46
4,20210403,202104035,Scattergories,Sketch,,46
5,20210403,202104036,Proud Parents,Sketch,,46
6,20210403,202104037,"""Pay Your Way In Pain""",Musical Performance,,46
7,20210403,202104038,,Weekend Update,,46
8,20210403,202104039,Frat Trip,Sketch,,46
9,20210403,2021040310,Dog Park,Sketch,,46
10,20210403,2021040311,"""The Melting Of The Sun""",Musical Performance,,46
11,20210403,2021040312,Half Brother,Sketch,,46
12,20210403,2021040313,,Goodnights,,46
0,20210327,202103271,Snatched! Vaxed! Or Waxed!,Cold Opening,,46
1,20210327,202103272,,Monologue,,46
2,20210327,202103273,Hot Ones,Show,,46
3,20210327,202103274,Boomers Got The Vax,Music Video,,46
4,20210327,202103275,A Kamala Harris Unity Seder,Sketch,,46
5,20210327,202103276,NFTs,Music Video,,46
6,20210327,202103277,"""Tyler Herro"", ""WHATS POPPIN""",Musical Performance,,46
7,20210327,202103278,,Weekend Update,,46
8,20210327,202103279,Choreographers,Sketch,,46
9,20210327,2021032710,2021 Barfly Awards,Award Show,,46
10,20210327,2021032711,"""Same Guy""",Musical Performance,,46
11,20210327,2021032712,The Maya-ing,Film,,46
12,20210327,2021032713,,Goodnights,,46
0,20210227,202102271,So You Think You Can Get The Vaccine,Cold Opening,,46
1,20210227,202102272,,Monologue,,46
2,20210227,202102273,Workout Mirror,Sketch,,46
3,20210227,202102274,Murder Show,Music Video,,46
4,20210227,202102275,Cinderella,Sketch,,46
5,20210227,202102276,Bachelor Party,Film,,46
6,20210227,202102277,"""Spaceman""",Musical Performance,,46
7,20210227,202102278,,Weekend Update,,46
8,20210227,202102279,Viking Voyager,Sketch,,46
9,20210227,2021022710,The Dionne Warwick Talk Show,Show,302.0,46
10,20210227,2021022711,"""This Is Heaven""",Musical Performance,,46
11,20210227,2021022712,Dating After Lockdown,Sketch,,46
12,20210227,2021022713,,Goodnights,,46
0,20210220,202102201,"Oops, You Did It Again",Cold Opening,303.0,46
1,20210220,202102202,,Monologue,,46
2,20210220,202102203,Actors Spotlight,Show,,46
3,20210220,202102204,Loco,Music Video,,46
4,20210220,202102205,Drivers License,Sketch,,46
5,20210220,202102206,Mr. Chicken Legs Pageant,Show,,46
6,20210220,202102207,The Job Interview,Film,,46
7,20210220,202102208,"""La Noche de Anoche""",Musical Performance,,46
8,20210220,202102209,,Weekend Update,,46
9,20210220,2021022010,Songs Of The Sea,Show,,46
10,20210220,2021022011,Let's Say Grace,Sketch,,46
11,20210220,2021022012,Intimacy Coordinators,Sketch,,46
12,20210220,2021022013,"""Te Deseo lo Mejor""",Musical Performance,,46
13,20210220,2021022014,The Grocery Rap,Music Video,,46
14,20210220,2021022015,,Goodnights,,46
0,20210213,202102131,Tucker Carlson Tonight,Cold Opening,299.0,46
1,20210213,202102132,,Monologue,,46
2,20210213,202102133,What's Your Type?,Game Show,,46
3,20210213,202102134,Pelotaunt,Commercial,,46
4,20210213,202102135,Commode & Commode,Commercial,,46
5,20210213,202102136,Birthday Gifts,Sketch,,46
6,20210213,202102137,The Negotiator,Film,,46
7,20210213,202102138,"""Redemption""",Musical Performance,,46
8,20210213,202102139,,Weekend Update,,46
9,20210213,2021021310,Disco Queen,Sketch,,46
10,20210213,2021021311,Women's Theatre,Sketch,,46
11,20210213,2021021312,"""A Little Honey""",Musical Performance,,46
12,20210213,2021021313,,Goodnights,,46
0,20210206,202102061,Super Bowl LV,Cold Opening,,46
1,20210206,202102062,,Monologue,,46
2,20210206,202102063,Universal Studios Tram Tour,Sketch,,46
3,20210206,202102064,Zillow,Commercial,,46
4,20210206,202102065,Super Bowl Pod,Sketch,,46
5,20210206,202102066,Lifting Our Voices,Show,,46
6,20210206,202102067,"""Kyoto""",Musical Performance,,46
7,20210206,202102068,,Weekend Update,,46
8,20210206,202102069,Hot Damn,Sketch,,46
9,20210206,2021020610,Wedding Friends,Sketch,,46
10,20210206,2021020611,"""I Know The End""",Musical Performance,,46
11,20210206,2021020612,It Gets Better,Commercial,,46
12,20210206,2021020613,,Goodnights,,46
0,20210130,202101301,What Still Works?,Cold Opening,,46
1,20210130,202101302,,Monologue,,46
2,20210130,202101303,Blue Georgia,Sketch,,46
3,20210130,202101304,The Loser,Film,,46
4,20210130,202101305,The Dividend,Show,,46
5,20210130,202101306,Now That's What I Call Theme Songs Sung By The Stars Of The Show,Commercial,,46
6,20210130,202101307,Pandemic Game Night,Sketch,,46
7,20210130,202101308,"""My Ex's Best Friend""",Musical Performance,,46
8,20210130,202101309,,Weekend Update,,46
9,20210130,2021013010,Supermarket Sweep,Game Show,,46
10,20210130,2021013011,Subway Pitch,Sketch,,46
11,20210130,2021013012,"""Lonely""",Musical Performance,,46
12,20210130,2021013013,Ratatouille,Sketch,,46
13,20210130,2021013014,,In Memoriam,,46
14,20210130,2021013015,,Goodnights,,46
0,20201219,202012191,Pence Gets The Vaccine,Cold Opening,,46
1,20201219,202012192,,Monologue,,46
2,20201219,202012193,Secret Word,Game Show,250.0,46
3,20201219,202012194,Christmas Morning,Music Video,,46
4,20201219,202012195,U.S.O. Performance,Sketch,,46
5,20201219,202012196,A Teacher,Commercial,,46
6,20201219,202012197,Home Alone 2,Sketch,,46
7,20201219,202012198,"""Don't Start Now""",Musical Performance,,46
8,20201219,202012199,,Weekend Update,,46
9,20201219,2020121910,The Grinch,Sketch,,46
10,20201219,2020121911,Surprise,Sketch,,46
11,20201219,2020121912,"""Levitating""",Musical Performance,,46
12,20201219,2020121913,,Goodnights,,46
0,20201212,202012121,The Situation Room,Cold Opening,233.0,46
1,20201212,202012122,,Monologue,,46
2,20201212,202012123,A Rona Family Christmas,Sketch,,46
3,20201212,202012124,Lexus,Commercial,,46
4,20201212,202012125,The Dionne Warwick Talk Show,Show,302.0,46
5,20201212,202012126,The Farm,Film,,46
6,20201212,202012127,"""Ghosts""",Musical Performance,,46
7,20201212,202012128,,Weekend Update,,46
8,20201212,202012129,Holiday Baking Championship,Show,301.0,46
9,20201212,2020121210,XXX Rap Roundtable,Show,,46
10,20201212,2020121211,"""I'll See You In My Dreams""",Musical Performance,,46
11,20201212,2020121212,Sportsmax,Commercial,,46
12,20201212,2020121213,,Goodnights,,46
0,20201205,202012051,Michigan Election Hearing,Cold Opening,,46
1,20201205,202012052,,Monologue,,46
2,20201205,202012053,Sleepover,Sketch,,46
3,20201205,202012054,Stu,Film,,46
4,20201205,202012055,Outdoor Cabaret,Sketch,,46
5,20201205,202012056,The Christmas Conversation,Film,,46
6,20201205,202012057,Morgan Wallen Party,Sketch,,46
7,20201205,202012058,"""7 Summers""",Musical Performance,,46
8,20201205,202012059,,Weekend Update,,46
9,20201205,2020120510,Santa's Village,Sketch,,46
10,20201205,2020120511,"""Still Goin Down""",Musical Performance,,46
11,20201205,2020120512,Bits,Film,,46
12,20201205,2020120513,,Goodnights,,46
0,20201107,202011071,Biden Victory,Cold Opening,,46
1,20201107,202011072,,Monologue,,46
2,20201107,202011073,Fired Mascots,Sketch,,46
3,20201107,202011074,Mario Memories,Miscellaneous,,46
4,20201107,202011075,Take Me Back,Film,,46
5,20201107,202011076,"""Shame Shame""",Musical Performance,,46
6,20201107,202011077,,Weekend Update,,46
